,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
2515,girly,Tommy Jeans,PRINTED FIT FLARE DRESS , Day dress,summer-dresses,79.99,white multi-coloured,,,,Semi-sheer,100% viscose,,"Machine wash at 30°C, Machine wash on gentle cycle",,,,,Backless,Floral,Adjustable straps,TOB21C079-K11,Short,Spaghetti straps,"32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
2516,casual chic,mbyM,MEERA , Day dress,summer-dresses,69.99,purple,,,,,100% viscose,,,Standing collar,,,Button,,Floral,,MB121C0ET-T11,Knee-length,"28.5 "" (Size S)","41.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
2517,girly,Freequent,FQSOLEI , Day dress,summer-dresses,59.99,white,,,,,"65% cotton, 35% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,V-neck,Striped,Bust darts,F0821C071-M11,Knee-length,"17.5 "" (Size S)","40.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
2518,casual chic,Vero Moda Curve,VMLYA 3/4 ABOVE KNEE DRESS , Day dress,summer-dresses,34.99,yellow,,,,,100% polyester,,,Volant collar,,,Laces,,Floral,Bust darts,VEE21C03Z-O11,Short,"17.5 "" (Size 18)","41.5 "" (Size 18)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 18","17.5 "" (Size 18)"
2519,alternative,Vila,VIMESA BRAIDED SHORT DRESS , Day dress,summer-dresses,30.99,dark green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,,V1021C2GU-M11,Extra short,Sleeveless,"33.5 "" (Size 8)",Regular Fit,,"12.0 "" (Size 8)"
2520,edgy,ONLY Carmakoma,CARIKA LIFE 3/4 DRESS , Day dress,summer-dresses,54.99,black,,,,,100% lyocell,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Button,,Marl,Belt included,ONA21C0G8-Q11,Knee-length,Elbow length,"43.5 "" (Size 16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 16","16.0 "" (Size 16)"
2521,unknown,DIANE Paris,ALBA , Occasion wear,Occasion dresses,590.0,white,,,,Semi-sheer,100% silk,,,,,,Zip,Backless,Plain,"Button row, bow",D2S21C000-A11,Long,Spaghetti straps,"49.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
2522,girly,Olivia Rubin,DELPHINE , Day dress,summer-dresses,265.0,bright multi-coloured,,,,,100% viscose,100% viscose,"Hand wash only, Dry cleanable",,,,Zip,Crew neck,Checked,Slip,OLG21C015-T11,Calf-length,"23.5 "" (Size 8)","50.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8",
2523,trendy,Seraphine,ANTONIETTA , Day dress,summer-dresses,54.99,white,100% viscose,,Knit,,"48% viscose, 32% cotton, 18% nylon, 2% elastane","95% viscose, 5% elastane","Do not tumble dry, Hand wash only",,,,,Crew neck,Floral,Nursing-friendly,S1S29F02A-C11,Knee-length,Short,"40.0 "" (Size 10)",Small,"Our model is 5' 10""  tall and is wearing size 10",
2524,edgy,Sister Jane,BARN HEART MINI DRESS , Day dress,summer-dresses,94.99,white,,,,,"80% polyester, 15% nylon, 5% cotton",,Hand wash only,Shawl collar,,,,V-neck,Print,Inseam pockets,QS021C07D-J11,Extra short,"22.0 "" (Size S)","30.5 "" (Size S)",Regular Fit,,"14.5 "" (Size S)"
2525,classic,Monki,Day dress,,summer-dresses,26.0,black,,,,,"94% polyester, 6% elastane",,"Machine wash at 40°C, do not tumble dry",,,,,Cache-coeur,Print,,MOQ21C0BK-Q11,Calf-length,"25.0 "" (Size S)","43.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)"
2526,casual chic,Neon & Nylon,CHECKBOARD DRESS , Jersey dress,summer-dresses,32.99,black/white,,,Jersey,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Checked,,N3P21C002-Q11,Calf-length,Short,"49.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
2527,classic,Anna Field Tall,Cocktail dress / Party dress,,Cocktail Dresses,33.99,navy,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Boat neck,Plain,,ANH21C00T-K11,Calf-length,"17.0 "" (Size S)","49.0 "" (Size S)",Slim Fit,,
2528,alternative,Mango,RUFU,H ,summer-dresses,49.99,red,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,,Backless,,Embroidery,M9121C5IZ-G11,Calf-length,Short,,Loose Fit,,
2529,alternative,Vero Moda,VMBELLA DRESS , Day dress,summer-dresses,34.99,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Floral,"Elasticated waist, slip",VE121C2NZ-K11,Short,"18.5 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
2530,alternative,Seafolly,SUMMER OF LOVE  , Day dress,summer-dresses,94.99,yellow,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Square neck,Floral,"Inseam pockets, bow",S1981H05O-M11,Calf-length,,"52.0 "" (Size S)",Loose Fit,,
2531,casual chic,Pepe Jeans,JASMINE , Day dress,summer-dresses,74.99,navy,,,,,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30°C",,,,Zip,Low-cut v-neck,Floral,"Zip fastening, bust darts, slip",PE121C0MJ-T11,Short,"24.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
2532,girly,Needle & Thread,AMALIE LONG SLEEVE V NECK BODICE ANKLE GOWN , Occasion wear,Occasion dresses,259.99,off-white,,,Tulle,,100% polyester,100% polyester,Dry cleanable,,,,Zip,Low-cut v-neck,Plain,"Slip, sequins, border",NT521C0G6-A11,Long,"23.0 "" (Size 8)","54.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",
2533,casual chic,Desigual,Day dress,,summer-dresses,84.99,navy,,,Tulle,,"93% polyester, 7% elastane","95% viscose, 5% elastane","Do not tumble dry, machine wash at 30°C",,,,,Crew neck,Floral,Slip,DE121C0YT-K11,Short,Sleeveless,"35.0 "" (Size M)",Regular Fit,,
2534,edgy,JDY,JDYBELLA LIFE DRESS , Day dress,summer-dresses,22.09,denim,,,,,100% cotton,,"Machine wash at 40°C, do not tumble dry, Machine wash on gentle cycle",Turn-down collar,,,Button,,,Belt included,JY121C0Q1-K11,Short,"24.5 "" (Size 8)","35.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)"
2535,edgy,Part Two,MARYLOU , Day dress,summer-dresses,129.99,navy,,,,,"50% polyester, 50% viscose",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,,P2121C0DA-K12,Knee-length,"20.5 "" (Size 8)","41.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","12.5 "" (Size 8)"
2536,alternative,Ioana Ciolacu,BETH DRESS , Day dress,summer-dresses,215.0,black,,,,,"55% linen, 45% viscose",,"Do not tumble dry, machine wash at 30°C",,,,Laces,Backless,Plain,Inseam pockets,IO021C002-Q11,Calf-length,Spaghetti straps,"47.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
2537,classic,Glamorous Curve,Day dress,,summer-dresses,35.69,black,,,Chiffon,,100% polyester,100% polyester,Hand wash only,,,,Zip,Low-cut v-neck,Polka dot,"Belt included, slip",GLA21C063-Q11,Short,"25.0 "" (Size 16)","36.5 "" (Size 16)",Fitted waist,"Our model is 5' 9""  tall and is wearing size 16","15.5 "" (Size 16)"
2538,classic,Cotton On Petite,SHIRRED HALTER MINI DRESS , Day dress,summer-dresses,28.99,black,,,Chiffon,,100% viscose,100% polyester,Machine wash at 40°C,,,,Laces,Backless,Plain,,C6A21C00C-Q11,Extra short,Spaghetti straps,"29.5 "" (Size S)",Regular Fit,,
2539,classic,Glamorous Tall,LONG SLEEVE TEA DRESS , Day dress,summer-dresses,34.99,black/white,,,,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,,Zip,Low-cut v-neck,Print,"Belt included, slip",GLC21C03D-Q11,Short,"26.5 "" (Size 10)","37.0 "" (Size 10)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 10","15.5 "" (Size 10)"
2540,girly,Superdry,DESERT OFF SHOULDER DRESS , Day dress,summer-dresses,39.99,red,,,,,100% lyocell,,"Do not tumble dry, machine wash at 30°C",,,,,Off-the-shoulder,Plain,,SU221C0H0-G11,Short,"16.0 "" (Size S)","28.0 "" (Size S)",Normal fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)"
2541,sporty,The North Face,GLACIER DRESS , Day dress,summer-dresses,54.99,pastel blue,,,Fleece,,100% polyester,,"Machine wash at 40°C, Machine wash on gentle cycle",Zip neck,,,,,Plain,,TH321C00B-K11,Extra short,Long,,Bodycon,,
2542,trendy,Closet,CLOSET LONDON PLEATED DRESS , Cocktail dress / Party dress,Cocktail Dresses,134.99,purple,,,,,"97% polyester, 3% elastane",,"Do not tumble dry, Hand wash only",,,,Zip,Crew neck,Floral,Bust darts,CL921C0TK-I11,Calf-length,"24.5 "" (Size 10)","47.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.5 "" (Size 10)"
2543,girly,IVY & OAK BRIDAL,MACY , Occasion wear,Occasion dresses,599.99,white,,,Lace,,100% polyester,100% polyester,"Do not tumble dry, Do not wash",,,,Zip,Backless,Plain,"Button row, padded bust, slip",IV521C02H-A11,Long,"23.5 "" (Size 8)","70.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)"
2544,casual chic,Esprit Collection,Day dress,,summer-dresses,89.99,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Print,Slip,ES421C1IO-K11,Knee-length,"22.0 "" (Size S)","36.5 "" (Size S)",Loose Fit,,"17.5 "" (Size S)"
2545,girly,Closet,CLOSET LONDON SHIRT DRESS , Cocktail dress / Party dress,Cocktail Dresses,114.99,pastel purple,,,,,100% polyester,,"Do not tumble dry, Hand wash only",Turn-down collar,,,Zip,Backless,Floral,Bust darts,CL921C0TG-I11,Knee-length,Elbow length,"40.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)"
2546,girly,Swing,EVENING DRESS , Occasion wear,Occasion dresses,159.99,blue,,,Chiffon,,100% polyester,100% polyester,,,,,Zip,Backless,Plain,"Padded bust, sequins, rhinestones",SG721C0M0-K11,Long,Spaghetti straps,"60.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",
2547,classic,Vero Moda,VMINEZ SHORT DRESS , Day dress,summer-dresses,32.99,black,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,Slip,VE121C20Z-Q11,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Fitted waist,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)"
2548,alternative,Vero Moda,DRESS , Day dress,summer-dresses,32.99,brown,,,,,"80% viscose, 20% polyester",,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Plain,,VE121C3AX-G11,Knee-length,Long,"36.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
2549,edgy,Esprit,Day dress,,summer-dresses,36.99,black,,,,,"79% viscose, 21% polyester",,"Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,,Plain,"Belt included, button row",ES121C233-Q11,Thigh-length,Long,,Regular Fit,,
2550,classic,Vivetta,DRESS , Day dress,summer-dresses,495.0,white,,,,,"93% cotton, 3% other fibres, 2% metal, 2% elastane",,"Machine wash at 40°C, do not tumble dry",,,,,Square neck,Plain,"Border, inseam pockets, rhinestones",VIQ21C01U-A11,Calf-length,Elbow length,"48.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","12.0 "" (Size 8)"
2551,edgy,Tommy Hilfiger,GLOBAL STRIPE SHORT DRESS , Day dress,summer-dresses,159.99,black,,,Knit,,"40% wool, 35% polyamide, 25% alpaca",,"Do not tumble dry, Hand wash only",Standing collar,,,,V-neck,Plain,,TO121C0K1-K11,Short,Extra short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
2552,sporty,edc by Esprit,Day dress,,summer-dresses,,navy,,,,,"88% cotton, 12% polyester",,"Machine wash at 40°C, do not tumble dry",Hood,,,,,Plain,Elasticated waist,ED121C0WW-K11,Short,"23.5 "" (Size S)","35.5 "" (Size S)",Loose Fit,,
2553,girly,GAP,DRESS  , Day dress,summer-dresses,38.49,blue,,,Sweat,,"93% cotton, 7% polyester",,"Machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,,Print,,GP021C0KQ-K11,Short,"23.0 "" (Size S)","35.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",
2554,classic,WAL G.,BUST SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,27.99,black,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Crew neck,Plain,Padded bust,WG021C085-Q11,Short,Sleeveless,"34.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)"
2555,girly,MOSCHINO,MACRO BUTTONS , Cocktail dress / Party dress,Cocktail Dresses,840.0,red,,,,,"49% cotton, 47% viscose, 4% elastane",,Dry clean only,,,,Button,Backless,Plain,"Inseam pockets, belt included, decorative buttons",6MO21C023-G11,Knee-length,Sleeveless,"47.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.5 "" (Size 10)"
2556,sporty,Alice + Olivia,EVIA , Day dress,summer-dresses,475.0,black,,,Rib,,"76% viscose, 22% nylon, 2% elastane",,Dry clean only,,,,,Backless,Plain,,A2N21C011-Q11,Knee-length,"Spaghetti straps, long","32.0 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
2557,edgy,Missguided Maternity,TIE BACK SMOCK DRESS , Day dress,summer-dresses,27.99,black,,,,,100% polyester,100% polyester,Machine wash at 30°C,,,,Laces,Backless,Plain,Slip,M5Q29F033-Q11,Extra short,"25.5 "" (Size 8)","33.0 "" (Size 8)",Regular Fit,,
2558,alternative,ONLY Carmakoma,CARCORDELIA WRAP DRESS , Day dress,summer-dresses,26.34,multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,Cache-coeur,Colourful,Slip,ONA21C0FW-K11,Knee-length,"23.0 "" (Size 16)","37.5 "" (Size 16)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 16","16.5 "" (Size 16)"
2559,casual chic,JDY Petite,JDYSUE SUMMER DRESS , Day dress,summer-dresses,17.99,navy,,,Jersey,,"96% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle, Do not bleach",,,,,Crew neck,Floral,Elasticated waist,JD421C010-K11,Knee-length,Short,"33.0 "" (Size S)",Regular Fit,,
2560,girly,WAL G.,SIMI SLINKI MIDI DRESS , Cocktail dress / Party dress,Cocktail Dresses,36.99,red,,,Jersey,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Cache-coeur,Plain,,WG021C0QB-G11,Knee-length,"Sleeveless, short","41.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",
2561,alternative,Molly Bracken,LADIES DRESS , Occasion wear,Occasion dresses,69.99,burnt orange,,,,,"70% viscose, 30% lyocell",100% viscose,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,Slip,M6121C0UK-G11,Knee-length,Sleeveless,"46.0 "" (Size S)",Regular Fit,,"8.5 "" (Size S)"
2562,trendy,YAS,YASGEOLA SHIRT DRESS , Day dress,summer-dresses,59.99,bright multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Print,"Bust darts, Crochet Detailing",Y0121C1WT-T11,Knee-length,"20.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,,"12.5 "" (Size S)"
2563,trendy,Rich & Royal,DRESS STRIPED , Day dress,summer-dresses,129.99,bright multi-coloured,,,Jersey,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,,V-neck,Striped,,RI521C04W-T11,Thigh-length,"25.5 "" (Size S)","44.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
2564,girly,Mango,CROATIA,H ,summer-dresses,35.99,green,"94% polyester, 6% elastane",,Rib,,"94% polyester, 6% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Scoop neck,Plain,,M9121C5KM-K11,Knee-length,Spaghetti straps,,Slim Fit,,
2565,trendy,Faithfull the brand,VELIKA MIDI DRESS , Day dress,summer-dresses,190.0,white multi-coloured,,,,,100% viscose,100% viscose,,,,,,Backless,Floral,"Slip, bow",F0O21C01U-M11,Calf-length,Elbow length,"44.0 "" (Size S)",Regular Fit,"Our model is 5' 8""  tall and is wearing size S",
2566,edgy,Vero Moda,VMAMY NECK DRESS , Day dress,summer-dresses,43.99,black/green,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C",Mandarin collar,,,Button,,Animal print,,VE121C3AM-Q11,Knee-length,"24.0 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
2567,casual chic,Object Tall,OBJDINA , Day dress,summer-dresses,47.99,white,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Floral,"Belt included, bust darts",OB721C02E-A11,Long,Long,,Regular Fit,,
2568,casual chic,Culture,DREA DRESS , Day dress,summer-dresses,89.99,electric blue,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,V-neck,Print,,CU221C090-K11,Knee-length,"26.0 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)"
2569,girly,Coach,SHORT PARTY DRESS , Cocktail dress / Party dress,Cocktail Dresses,594.99,navy,,,,,"97% cotton, 3% other fibres",,Hand wash only,Standing collar,,,Zip,,Floral,"Inseam pockets, sequins, rhinestones, Crochet Detailing",COH21C00O-Q11,Short,Elbow length,"33.0 "" (Size 8)",Slim Fit,,"13.0 "" (Size 8)"
2570,casual chic,Vintage Supply,MIDI DRESS IN BUTTERFLY PRINT , Day dress,summer-dresses,39.99,black,,,,,"96% polyester, 4% elastane",100% polyester,Machine wash at 30°C,,,,,Backless,Print,Slip,VIO21C000-Q11,Knee-length,"Sleeveless, spaghetti straps","34.5 "" (Size 8)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 8",
2571,classic,Lace & Beads,SIDONE MIDI , Occasion wear,Occasion dresses,64.99,navy,,,Tulle,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,,Zip,Cache-coeur,Plain,"Underskirt, border",LS721C0GM-K11,Calf-length,"19.0 "" (Size 8)","49.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",
2572,edgy,FUBU,VARSITY DRESS , Day dress,summer-dresses,34.99,black,,,Mesh,Very sheer,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,V-neck,Print,,FU421C004-Q11,Knee-length,Short,"36.0 "" (Size S)",Oversized,,
2573,girly,Cinq Ã  Sept,HATTIE DRESS , Cocktail dress / Party dress,Cocktail Dresses,315.0,white,,,,,"69% triacetate, 31% polyester","95% polyester, 5% elastane",Dry clean only,,,,Zip,Scoop neck,Plain,"Slip, fringing",CIG21C013-A11,Extra short,Sleeveless,"32.5 "" (Size 8)",Bodycon,"Our model is 5' 11""  tall and is wearing size 8","16.0 "" (Size 8)"
2574,edgy,Jarlo,ESMERALDA , Occasion wear,Occasion dresses,139.99,navy,,,,,100% nylon,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,,Zip,Backless,Plain,Slip,J3121C085-K11,Calf-length,"Strapless, sleeveless","49.5 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
2575,edgy,Desigual,LYON DESIGNED BY M. CHRISTIAN LACROIX , Day dress,summer-dresses,119.99,black multi-coloured,,,Mesh,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,,Low-cut v-neck,Floral,Slip,DE121C0YM-Q11,Short,"20.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,,
2576,girly,ONLY MATERNITY,OLMNOVA LIFE SARA DRESS , Day dress,summer-dresses,21.99,pastel green,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Floral,,ON329F02E-M11,Knee-length,Sleeveless,"38.0 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
2577,girly,LIU JO,ABITO MIDI , Cocktail dress / Party dress,Cocktail Dresses,284.99,pastel green,,,,,"63% viscose, 16% polyester, 16% polyamide, 5% elastane",,"Hand wash only, do not tumble dry",,,,Hook fastening ,Backless,Marl,Zip fastening,LI621C073-A11,Long,Sleeveless,"50.5 "" (Size 10)",Slim Fit,,
2578,unknown,Marella,ZADAR , Day dress,summer-dresses,259.99,off-white,,,Chiffon,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,Belt included,M7521C06O-A11,Calf-length,Long,,Regular Fit,,
2579,girly,SUMMERY Copenhagen,SIGGA LONG DRESS , Day dress,summer-dresses,199.99,pastel purple,,,,,100% cotton,,Machine wash at 30°C,Turn-down collar,,,,V-neck,Checked,,CEC21C03Y-I11,Calf-length,Elbow length,"44.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
2580,alternative,kate spade new york,Day dress,,summer-dresses,174.99,red,,,Jersey,,"64% viscose, 32% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,Bust darts,K0521C02O-G11,Knee-length,"21.0 "" (Size M)","36.5 "" (Size M)",Regular Fit,"Our model is 5' 11""  tall and is wearing size M",
2581,trendy,Fabienne Chapot,FREDDIE DRESS , Day dress,summer-dresses,159.99,black/white,,,,,100% viscose,,Hand wash only,,,,Button,Crew neck,Animal print,Belt included,FAH21C03A-Q11,Knee-length,"25.5 "" (Size 8)","41.0 "" (Size 8)",Regular Fit,,"13.5 "" (Size 8)"
2582,casual chic,Second Female,ALIX DRESS , Cocktail dress / Party dress,Cocktail Dresses,134.99,black,,,Chiffon,,"90% polyester, 10% metal",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Polka dot,Slip,SE421C07O-Q11,Calf-length,"25.0 "" (Size M)","44.0 "" (Size M)",Slim Fit,"Our model is 5' 10""  tall and is wearing size M","13.5 "" (Size M)"
2583,edgy,Marella,KARLIE , Day dress,summer-dresses,164.99,black,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Plain,"Inseam pockets, elasticated waist",M7521C04T-Q11,Knee-length,"20.5 "" (Size 10)","35.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)"
2584,unknown,SamsÃ¸e SamsÃ¸e,MYNTHA DRESS , Day dress,summer-dresses,179.99,off-white,,,Crocheted,Semi-sheer,"58% nylon, 21% polyester, 21% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Floral,"Slip, bow",SA321C0G5-A11,Calf-length,"25.5 "" (Size S)","46.0 "" (Size S)",Loose Fit,,"15.5 "" (Size S)"
2585,girly,Selected Femme,SLFSKYE KNEE DRESS , Day dress,summer-dresses,69.99,white,,,,,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Laces,V-neck,Polka dot,"Belt included, slip",SE521C14D-A11,Knee-length,"24.5 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,,"15.0 "" (Size 8)"
2586,edgy,Vero Moda Curve,VMHENNA SHORT DRESS , Day dress,summer-dresses,29.74,army green,,,,,100% viscose,,,,,,Button,Henley,Plain,Inseam pockets,VEE21C0CG-M11,Short,"22.5 "" (Size 16)","36.5 "" (Size 16)",Loose Fit,,"16.5 "" (Size 16)"
2587,casual chic,edc by Esprit,Day dress,,summer-dresses,45.0,black/white,,,,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,,Square neck,Floral,,ED121C0XH-K11,Short,"22.0 "" (Size S)","31.0 "" (Size S)",Regular Fit,,
2588,girly,Rosemunde,LACE STRAP WEDDINGDRESS , Occasion wear,Occasion dresses,164.99,white,,,Lace,,"92% polyamide, 8% elastane","95% polyester, 5% elastane",,,,,,Backless,Plain,"Adjustable straps, slip",RM021C01U-A11,Long,Spaghetti straps,"73.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
2589,classic,Massimo Dutti,MIT DOPPELTEM ROCK  , Day dress,summer-dresses,149.0,black,,,Satin,,"71% acetate, 29% viscose","71% acetate, 29% viscose",,,,,,Low-cut v-neck,Plain,Slip,M3I21C0GT-Q11,Calf-length,Sleeveless,"50.0 "" (Size M)",Regular Fit,,
2590,unknown,Tiger of Sweden,MATICA , Day dress,summer-dresses,149.99,navy,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Plain,"Inseam pockets, bow",TI521C07X-K11,Knee-length,"25.0 "" (Size 8)","44.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)"
2591,trendy,Monki,Day dress,,summer-dresses,26.0,electric blue,,,Rib,,"91% viscose, 9% elastane",,"Do not tumble dry, machine wash at 30°C",Standing collar,,,,,Plain,,MOQ21C0BM-L11,Calf-length,"27.5 "" (Size M)","45.0 "" (Size M)",Slim Fit,"Our model is 5' 10""  tall and is wearing size M",
2592,edgy,Vero Moda Petite,VMEASY DRESS , Day dress,summer-dresses,32.99,black multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Mandarin collar,,,Button,,Floral,"Belt included, bust darts",VM021C0D2-Q11,Calf-length,"23.5 "" (Size S)","45.5 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
