"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Burgundy,Electric blue,Green,Orange,Pink,Purple,Red,Yellow","Checked,Striped,Polka dot","Henley neckline","Mandarin collar,Peter pan collar","Wool","Accentuating the waist,Button down dresses","Thigh length,Calf length,Maxi/long","Army green,Black,Grey,Navy,Off-white,Sand,White",Slim fit,"Sleeveless,Short,Long","Only,Mango",,Neutral,Positive,No,Neutral,Neutral,â‚¬80-120,165,44,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Blue,Burgundy,Brown,Burnt orange,Dark green,Electric blue,Navy,Sand","Large floral,Striped,Polka dot","V-neck,Low v-neck,Square neckline","Mandarin collar,Peter pan collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Extra short,Short,Thigh length,Maxi/long","Black,Gold,Pastel green,Pastel pink,Pink,Sand,Stone",Slim fit,"Strapless,Sleeveless,Short,One shoulder","Mango,NA-KD",,Neutral,Neutral,No,Yes,Neutral,â‚¬80-120,165,25,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Brown,Dusty pink,Electric blue,Gold,Green,Pastel pink,Sand","Checked,Paisley,Polka dot","Henley neckline,Cowl neckline,Boat neckline (wide)","Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Hooded dresses,Button down dresses,Pleated dresses","Short,Thigh length,Maxi/long","Black,Grey,Navy,Pastel green,Stone","Slim fit,Regular fit","Sleeveless,Short,One shoulder,Elbow length,Long","Only,Mango,Vila,JDY,NA-KD",,Neutral,Negative,No,Yes,Yes,â‚¬40-80,160,23,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burnt orange,Electric blue,Green","Paisley","Henley neckline,Round neckline","Bow/shawl collar","Chiffon,Sweat","Hooded dresses","Short,Maxi/long","Black,Off-white,Pastel purple,Pastel yellow,Stone",I don't have a preference,"Long","Other options:","Bershka, Stradivarius ",Neutral,Negative,No,Yes,Neutral,< â‚¬40,173 cm,20,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Army green,Electric blue,Green,Grey,Pink,Silver,Yellow","Checked,Large floral,Striped,Polka dot","Cowl neckline,Low round neckline,V-neck,Square neckline","Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","Leather,Jersey","Bodycon dresses,Polo dresses,Button down dresses","Short,Thigh length,Knee length,Maxi/long","Burgundy,Brown,Burnt orange,Navy,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Purple,Red,Stone",Regular fit,"Sleeveless,Short,Elbow length","Only,Mango,Esprit",,Neutral,Negative,Neutral,Yes,Neutral,â‚¬40-80,1m65,23,2- Unlikely to wear,5- Very likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Black,Brown,Burnt orange,Dark green,Electric blue,Gold,Grey,Navy,Silver,White","Checked,Paisley,Striped","Square neckline","Lapel collar,Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Bodycon dresses,Button down dresses","Thigh length,Knee length","Pastel blue,Pastel green,Pastel pink,Pastel purple",Regular fit,"Sleeveless,Short","Pieces",,Negative,Negative,Yes,No,Neutral,â‚¬40-80,160,24,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Burgundy,Brown,Burnt orange,Dusty pink,Green,Grey,Silver","Animal print,Small floral,Paisley,Polka dot","Square neckline","Bow/shawl collar,Zip neck collar","I don't have a preference on materials","Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Black,Navy,Off-white,Pastel blue,Pastel orange,Pink,Sand,Stone,White",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Mango,Vila,JDY,Other options:","Edited, Never fully dressed, Oysho",Negative,Neutral,No,Yes,No,â‚¬40-80,158,24,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burgundy,Orange,Pastel orange,Purple","Checked,Striped,Polka dot","Round neckline,Low round neckline,Boat neckline (wide)","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Standing collar","Wool","Polo dresses,Button down dresses","Short,Knee length,Maxi/long","Black,Blue,Brown,Dusty pink,Electric blue,Gold,Green,Grey,Navy,Off-white,Pastel blue,Pastel green,Pastel pink,Pastel purple,Pastel yellow,Pink,Purple,Sand,Silver,Stone,White,Yellow",Regular fit,"Sleeveless,Short,Long","Mango,Other options:","Missguided",Neutral,Positive,Yes,Yes,Yes,"< â‚¬40,â‚¬40-80",1m67,23,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,3- Neutral,"Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Silver","Animal print,Large floral,Paisley,Polka dot","I like every neckline","I like every collar","Sweat,Lace","Bodycon dresses,Polo dresses,Pleated dresses","Extra short,Short,Calf length,Maxi/long","Green,Orange,Pink,Red,Yellow",Loose fit,"I like all sleeve lengths","Mango",,Negative,Positive,No,Yes,No,"â‚¬120 - 200,> â‚¬200",167cm,23,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burnt orange,Gold,Green,Purple,White","Animal print,Small floral,Large floral,Paisley,Polka dot,Prints in general","Henley neckline,V-neck,Square neckline","Peter pan collar,Zip neck collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Dusty pink,Electric blue,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pink,Silver",Regular fit,"Strapless,Sleeveless,Short,Elbow length,Long","Vila,Ralph Lauren,Yas,NA-KD",,Negative,Positive,Neutral,Yes,Neutral,"â‚¬80-120,â‚¬120 - 200",175cm,21,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burnt orange,Dusty pink,Pastel orange,Sand","Animal print,Small floral,Paisley,Polka dot","I like every neckline","Peter pan collar,Volant/frill collar,Standing collar","Leather","Hooded dresses,Polo dresses","Short,Thigh length,Maxi/long","Black,Blue,Burgundy,Electric blue,Pastel blue,Red,White","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Mango,Vila",,Negative,Neutral,Neutral,Neutral,No,â‚¬40-80,161 cm,23,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Army green,Burgundy,Gold,Purple,Silver","Animal print,Polka dot,Prints in general","Henley neckline,Square neckline","Peter pan collar,Bow/shawl collar,Standing collar","Leather","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Calf length,Maxi/long","Black,Blue,Burnt orange,Navy,Orange,Pastel blue,Pastel green,Pastel orange,Pastel purple,Red","Regular fit,Loose fit","Sleeveless,Short,Long","Other options:","Weekday, Leviâ€™s",Neutral,Negative,No,No,No,â‚¬40-80,1m60,21,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,"Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burgundy,Burnt orange,Dark green","Prints in general","Henley neckline","Peter pan collar","Chiffon,Linnen","Accentuating the waist","Short,Maxi/long","Black,Gold,Pink",I don't have a preference,"Elbow length","Yas,Diane von Furstenberg,Pinko",,Positive,Positive,Yes,No,Yes,â‚¬120 - 200,165,43,5- Very likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,5- Very likely to wear,2- Unlikely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Black,Brown,Electric blue,Green,Red","Animal print,Small floral","Cowl neckline,V-neck,Low v-neck,Boat neckline (wide)","Lapel collar,Bow/shawl collar,Standing collar","Chiffon,Satin,Silk,Cotton","Accentuating the waist,Button down dresses","Calf length,Maxi/long","Army green,Black,Brown,Electric blue,Green,Off-white,Pink,Red",Slim fit,"Short,Elbow length","Only,Mango,Vila,Pieces",,Neutral,Negative,No,Neutral,Neutral,"â‚¬80-120,â‚¬120 - 200",162,45,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Gold,Pastel green,Pastel orange,Pastel pink,Pastel yellow,Sand,Silver,White","Large floral,Paisley,Polka dot","Henley neckline,Low round neckline","Peter pan collar,Zip neck collar","Denim,Leather","Hooded dresses","Short,Thigh length","Black,Blue,Burgundy,Dark green,Electric blue,Green,Grey,Navy,Red,Stone","Slim fit,Regular fit","Sleeveless,Elbow length","Mango,Vila,Other options:","Massimo dutti",Negative,Neutral,No,Yes,Neutral,â‚¬40-80,1m72,23,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,5- Very likely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Gold,Green,Orange,Purple,Red,Yellow","Animal print,Checked","Low v-neck,Square neckline","Lapel collar,Mandarin collar,Peter pan collar,Volant/frill collar,Standing collar","Leather","Bodycon dresses,Hooded dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Army green,Blue,Dusty pink,Off-white,Pastel pink,Sand,Stone",Loose fit,"Sleeveless,Short,Elbow length,Long","Ralph Lauren,Marc'o polo,Other options:","Massimo Dutti ",Neutral,Negative,Yes,No,Neutral,"â‚¬120 - 200,> â‚¬200",162,49,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Dark green,Electric blue,Grey","Polka dot","Henley neckline,Square neckline","Mandarin collar,Peter pan collar","Leather,Jersey","Bodycon dresses,Polo dresses,Button down dresses","Thigh length,Knee length,Calf length,Maxi/long","Off-white,Orange,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Pink,Sand,Stone","Regular fit,Loose fit","Sleeveless,Short,One shoulder","Other options:","Designer remix,baum und pherdgarten,RhÃ´ne,samsoe",Negative,Neutral,Neutral,Yes,No,> â‚¬200,1m70,54,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Electric blue,Gold,Grey,Pastel blue,Pastel purple,Pink,Purple,Sand,Silver,Stone","Animal print,Large floral,Paisley,Polka dot","Cowl neckline,Boat neckline (wide),Square neckline","Peter pan collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Accentuating the waist,Hooded dresses","Thigh length,Knee length","Black,Burgundy,Orange",I don't have a preference,"Sleeveless,Elbow length,Long","Other options:","Weekday, Trendyol",Negative,Negative,Neutral,No,Neutral,â‚¬40-80,"1,75",21,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Blue,Gold,Green,Orange,Pastel yellow,Purple,Silver,Yellow","Animal print,Checked,Polka dot","Henley neckline,Square neckline,Spaghetti straps","Peter pan collar,Bow/shawl collar,Volant/frill collar","Leather,Chiffon,Lace","Bodycon dresses,Polo dresses","Short,Thigh length,Calf length","Black,Burgundy,Burnt orange,Dusty pink,Off-white,Pastel pink","Slim fit,Regular fit","Short,Long","Only,Vila,Esprit",,Neutral,Negative,Yes,Yes,Neutral,â‚¬40-80,1m68,23,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Dusty pink,Gold,Pastel pink,Pastel purple","Paisley","Square neckline","Peter pan collar","I don't have a preference on materials","Wrap dresses,Bodycon dresses","Thigh length,Knee length","Black,Blue,Grey,Navy",Regular fit,"Short,Elbow length","Hugo Boss,Tommy Hilfiger",,Neutral,Negative,Neutral,Neutral,Neutral,"â‚¬120 - 200,> â‚¬200",170,42,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Sporty - Adaptation of activewear, comfort focused,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel purple,Pastel yellow,Sand,Silver,Stone","Paisley,Striped,Polka dot","Cowl neckline,Spaghetti straps","Bow/shawl collar,Zip neck collar,Volant/frill collar","Leather,Satin","Bodycon dresses,Hooded dresses,Polo dresses,Pleated dresses","Knee length,Calf length,Maxi/long","Black,Blue,Brown,Electric blue,Gold,Grey,Navy,Orange,Red,Yellow","Regular fit,Loose fit","Short,Elbow length,Long","Esprit",,Neutral,Negative,Neutral,No,No,â‚¬120 - 200,1m 66,50,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Dusty pink,Pastel pink,Pastel purple,Sand,Stone","Checked,Small floral,Paisley,Striped","Henley neckline,Cowl neckline,Round neckline","Bow/shawl collar,Zip neck collar,Standing collar","Chiffon,Sweat,Linnen,Wool","Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","Knee length,Calf length,Maxi/long","Blue,Burgundy,Orange,Purple,Red,Yellow","Slim fit,Regular fit","Short,Elbow length,Long","Other options:","None",Neutral,Neutral,Yes,No,No,â‚¬80-120,1m78,42,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Edgy - Transmits boldness, characterized by dark colors, leather, animal print, plaidâ€¦"
"Gold,Orange,Pastel orange,Purple,Silver","Checked,Paisley","Cowl neckline,Square neckline","Bow/shawl collar,Zip neck collar,Volant/frill collar","Satin,Silk,Wool","Bodycon dresses,Hooded dresses","Short,Thigh length,Maxi/long","Army green,Black,Blue,Burgundy,Brown,Dusty pink,Navy,Off-white,Pink,White","Slim fit,Regular fit","Sleeveless,Short","Only,Desigual,Vila,Superdry,JDY,Pieces,Tommy Hilfiger",,Positive,Neutral,Yes,Neutral,No,"< â‚¬40,â‚¬40-80",165,24,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Green,Orange,Pastel purple,Purple","Animal print","Cowl neckline,Boat neckline (wide),Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar","Leather,Lace,Linnen","Wrap dresses,Bodycon dresses,Hooded dresses","Knee length,Calf length","Black,Blue,Burgundy,Dark green,Electric blue,Pastel blue,Pastel pink",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Only,Desigual,Esprit",,Negative,Negative,Neutral,Neutral,No,â‚¬40-80,158,44,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Silver","I like all of these prints","Cowl neckline","Zip neck collar","Chiffon","Bodycon dresses","Knee length","Dusty pink",Regular fit,"Long","Other options:","Dorothy Perkins",Neutral,Negative,No,Yes,Neutral,â‚¬40-80,171,37,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦"
