Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,,0.240055918,5502,https://www.zalando.co.uk/banana-republic-hot-store-dress-day-dress-white-print-bj721c0gp-t11.html,https://www.zalando.co.uk/banana-republic-hot-store-dress-day-dress-white-print-bj721c0gp-t11.html,Banana Republic,HOT STORE DRESS , Day dress,summer-dresses,Â£129.99,white multi-coloured,--,--,--,--,100% linen,100% cotton,"Machine wash at 30Â°C, Machine wash on gentle cycle",Mandarin collar,--,--,Button,--,Floral,"Belt included, inseam pockets",BJ721C0GP-T11,Knee-length,"24.5 "" (Size S)","35.0 "" (Size S)",Regular Fit,--,"16.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.959122875,5795,https://www.zalando.co.uk/by-malene-birger-favine-day-dress-earth-powder-by121c095-o11.html,https://www.zalando.co.uk/by-malene-birger-favine-day-dress-earth-powder-by121c095-o11.html,By Malene Birger,FAVINE , Day dress,summer-dresses,Â£329.99,brown,--,--,"Rib, Knit",--,100% wool,--,--,--,--,--,--,Low-cut v-neck,Marl,--,BY121C095-O11,Calf-length,"27.5 "" (Size S)","54.5 "" (Size S)",Regular Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.558625531,2534,https://www.zalando.co.uk/vila-petite-vigabrielle-modesty-o-neck-ankle-dress-day-dress-navy-blazer-vip21c03y-t11.html,https://www.zalando.co.uk/vila-petite-vigabrielle-modesty-o-neck-ankle-dress-day-dress-navy-blazer-vip21c03y-t11.html,VILA PETITE,VIGABRIELLE MODESTY O NECK ANKLE DRESS , Day dress,summer-dresses,Â£47.99,multi-coloured,--,--,--,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Floral,Slip,VIP21C03Y-T11,Calf-length,"24.5 "" (Size 8)","49.5 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.523248374,4571,https://www.zalando.co.uk/mango-day-dress-beige-m9121c5is-b11.html,https://www.zalando.co.uk/mango-day-dress-beige-m9121c5is-b11.html,Mango,TULIPA , Day dress,summer-dresses,Â£49.99,off-white,--,--,--,--,"70% viscose, 30% polyester",100% polyester,"Do not tumble dry, Hand wash only, Dry cleanable",--,--,--,Zip,Crew neck,Animal print,Covered fastener,M9121C5IS-B11,Calf-length,Short,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.041503975,6415,https://www.zalando.co.uk/marchesa-occasion-wear-waterlily-m7g21c00p-t11.html,https://www.zalando.co.uk/marchesa-occasion-wear-waterlily-m7g21c00p-t11.html,Marchesa,Occasion wear,,Occasion dresses,"Â£5,055.00",white multi-coloured,--,--,--,--,100% silk,100% polyester,Dry clean only,Volant collar,--,--,Zip,--,Floral,"Slip, wired bustier",M7G21C00P-T11,Long,Short,"69.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.057624307,6481,https://www.zalando.co.uk/vila-vipartina-dress-cocktail-dress-party-dress-bodacious-pink-v1021c2oq-j11.html,https://www.zalando.co.uk/vila-vipartina-dress-cocktail-dress-party-dress-bodacious-pink-v1021c2oq-j11.html,Vila,VIPARTINA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£30.99,pink,--,--,Jersey,--,"88% polyester, 12% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Cache-coeur,Plain,Slip,V1021C2OQ-J11,Knee-length,Long,--,Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.017189289,7165,https://www.zalando.co.uk/just-cavalli-cocktail-dress-party-dress-natural-variant-ju621c0c7-o11.html,https://www.zalando.co.uk/just-cavalli-cocktail-dress-party-dress-natural-variant-ju621c0c7-o11.html,Just Cavalli,Cocktail dress / Party dress,,Cocktail Dresses,Â£349.99,brown,--,--,--,--,"87% polyester, 13% elastane",--,Hand wash only,--,--,--,Zip,Low-cut v-neck,Animal print,"Bust darts, wired bustier",JU621C0C7-O11,Thigh-length,Sleeveless,"35.0 "" (Size 10)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.506722696,4318,https://www.zalando.co.uk/lily-and-lionel-fifi-dress-day-dress-solstice-bordeaux-l2t21c01g-g11.html,https://www.zalando.co.uk/lily-and-lionel-fifi-dress-day-dress-solstice-bordeaux-l2t21c01g-g11.html,Lily & Lionel,FIFI DRESS , Day dress,summer-dresses,Â£239.99,bordeaux,--,--,--,--,100% viscose,100% viscose,Hand wash only,--,--,--,Belt,Cache-coeur,Floral,"Bust darts, slip, bow",L2T21C01G-G11,Calf-length,"25.0 "" (Size 10)","46.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.744952209,6887,https://www.zalando.co.uk/forever-new-curve-lola-curve-long-sleeve-ruffle-cocktail-dress-party-dress-athena-fop21c00z-i11.html,https://www.zalando.co.uk/forever-new-curve-lola-curve-long-sleeve-ruffle-cocktail-dress-party-dress-athena-fop21c00z-i11.html,Forever New Curve,LOLA CURVE LONG SLEEVE RUFFLE  , Cocktail dress / Party dress,Cocktail Dresses,Â£119.99,white multi-coloured,--,--,--,--,100% viscose,100% polyester,Hand wash only,--,--,--,Zip,Low-cut v-neck,Floral,Slip,FOP21C00Z-I11,Calf-length,3/4 length,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.357202765,2846,https://www.zalando.co.uk/hollister-co-short-dress-day-dress-white-stripe-h0421c052-a11.html,https://www.zalando.co.uk/hollister-co-short-dress-day-dress-white-stripe-h0421c052-a11.html,Hollister Co.,RUGBY SHORT DRESS  , Day dress,summer-dresses,Â£28.99,white,--,--,Sweat,--,100% cotton,--,Machine wash at 30Â°C,Polo shirt,--,--,--,--,Striped,--,H0421C052-A11,Short,"22.5 "" (Size LxS)","34.0 "" (Size LxS)",Loose Fit,"Our model is 5' 10""  tall and is wearing size LxS",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.735705365,7412,https://www.zalando.co.uk/david-koma-crystal-tube-cutouts-contrast-mini-dress-cocktail-dress-party-dress-blackwhite-d0t21c00j-q11.html,https://www.zalando.co.uk/david-koma-crystal-tube-cutouts-contrast-mini-dress-cocktail-dress-party-dress-blackwhite-d0t21c00j-q11.html,David Koma,CRYSTAL TUBE CUTOUTS CONTRAST MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£925.00,black/white,--,--,--,--,"52% acetate, 45% viscose, 3% elastane","68% acetate, 32% polyester",--,Standing collar,--,--,Zip,--,--,"Bust darts, slip, rhinestones",D0T21C00J-Q11,Extra short,Sleeveless,"33.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.947465234,411,https://www.zalando.co.uk/rich-and-royal-dress-flower-print-day-dress-spring-green-ri521c04u-m11.html,https://www.zalando.co.uk/rich-and-royal-dress-flower-print-day-dress-spring-green-ri521c04u-m11.html,Rich & Royal,DRESS FLOWER PRINT , Day dress,summer-dresses,Â£174.99,bright multi-coloured,--,--,--,--,100% viscose,100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,--,--,Zip,--,Floral,--,RI521C04U-M11,Thigh-length,"24.5 "" (Size 8)","44.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.04129004,6794,https://www.zalando.co.uk/nly-by-nelly-ruched-front-dress-cocktail-dress-party-dress-black-neg21c0id-q11.html,https://www.zalando.co.uk/nly-by-nelly-ruched-front-dress-cocktail-dress-party-dress-black-neg21c0id-q11.html,Nly by Nelly,RUCHED FRONT DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£39.99,black,--,--,Jersey,Semi-sheer,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,--,NEG21C0ID-Q11,Extra short,"29.0 "" (Size S)","33.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.838901848,5945,https://www.zalando.co.uk/cartoon-day-dress-blackgrey-c0421c064-q11.html,https://www.zalando.co.uk/cartoon-day-dress-blackgrey-c0421c064-q11.html,Cartoon,Day dress,,summer-dresses,Â£76.49,black,--,--,Knit,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Marl,--,C0421C064-Q11,Knee-length,"17.5 "" (Size 10)","35.5 "" (Size 10)",Normal fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.202578936,2412,https://www.zalando.co.uk/billabong-love-light-day-dress-off-black-bi721c05a-q11.html,https://www.zalando.co.uk/billabong-love-light-day-dress-off-black-bi721c05a-q11.html,Billabong,LOVE LIGHT , Day dress,summer-dresses,Â£59.99,black multi-coloured,--,--,--,--,100% viscose,--,Hand wash only,--,--,--,Hook fasteningÂ ,Cache-coeur,Floral,--,BI721C05A-Q11,Short,"22.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","16.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.465174681,6366,https://www.zalando.co.uk/needle-and-thread-tempest-v-neck-bodice-ankle-gown-occasion-wear-graphite-nt521c0f4-j11.html,https://www.zalando.co.uk/needle-and-thread-tempest-v-neck-bodice-ankle-gown-occasion-wear-graphite-nt521c0f4-j11.html,Needle & Thread,TEMPEST V,NECK BODICE ANKLE GOWN ,Occasion dresses,Â£289.99,black,--,--,Tulle,--,100% polyester,100% polyester,Dry clean only,--,--,--,Zip,Cache-coeur,Plain,"Slip, sequins, border, embroidery",NT521C0F4-J11,Long,"24.5 "" (Size 8)","53.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.718238507,813,https://www.zalando.co.uk/allsaints-coco-asago-day-dress-pinkblack-a0q21c0hb-t11.html,https://www.zalando.co.uk/allsaints-coco-asago-day-dress-pinkblack-a0q21c0hb-t11.html,AllSaints,COCO ASAGO , Day dress,summer-dresses,Â£199.99,black multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Floral,Slip,A0Q21C0HB-T11,Calf-length,Extra short,"52.5 "" (Size 8)",Regular Fit,--,"16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.490351848,6962,https://www.zalando.co.uk/never-fully-dressed-studio-monique-dress-cocktail-dress-party-dress-multi-nen21c04y-t11.html,https://www.zalando.co.uk/never-fully-dressed-studio-monique-dress-cocktail-dress-party-dress-multi-nen21c04y-t11.html,Never Fully Dressed,STUDIO MONIQUE DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£94.99,bright multi-coloured,--,--,Chiffon,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Low-cut v-neck,Floral,--,NEN21C04Y-T11,Extra short,"26.0 "" (Size 8)","33.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.899957203,2065,https://www.zalando.co.uk/lacoste-day-dress-overview-la221c04l-k12.html,https://www.zalando.co.uk/lacoste-day-dress-overview-la221c04l-k12.html,Lacoste,Day dress,,summer-dresses,Â£134.99,pastel blue,--,Yes,PiquÃ©,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Polo shirt,--,--,Zip,--,Plain,Elasticated waist,LA221C04L-K12,Knee-length,Short,"44.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.642911299,1455,https://www.zalando.co.uk/na-kd-hoodie-dress-day-dress-grey-melange-naa21c0oo-c11.html,https://www.zalando.co.uk/na-kd-hoodie-dress-day-dress-grey-melange-naa21c0oo-c11.html,NA-KD,HOODIE DRESS , Day dress,summer-dresses,Â£39.99,grey,--,--,Sweat,--,"65% cotton, 35% polyester",--,"Do not tumble dry, machine wash at 30Â°C",Hood,--,--,--,V-neck,Marl,--,NAA21C0OO-C11,Short,"26.0 "" (Size S)","33.5 "" (Size S)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.100041078,6218,https://www.zalando.co.uk/roksanda-anaisa-dress-occasion-wear-chartreuse-r9821c020-m11.html,https://www.zalando.co.uk/roksanda-anaisa-dress-occasion-wear-chartreuse-r9821c020-m11.html,Roksanda,ANAISA DRESS , Occasion wear,Occasion dresses,Â£995.00,green,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Zip,--,Plain,--,R9821C020-M11,Long,Sleeveless,"60.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","19.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.660738632,6780,https://www.zalando.co.uk/jarlo-genie-cocktail-dress-party-dress-black-j3121c07t-q11.html,https://www.zalando.co.uk/jarlo-genie-cocktail-dress-party-dress-black-j3121c07t-q11.html,Jarlo,Cocktail dress / Party dress,,Cocktail Dresses,Â£139.99,black,--,--,--,--,"97% polyester, 3% elastane","98% polyester, 2% elastane","Do not tumble dry, Do not wash",--,--,--,Zip,--,Plain,"Padded bust, slip, wired bustier",J3121C07T-Q11,Calf-length,Spaghetti straps,"45.5 "" (Size 8)",Slim Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.381454551,6439,https://www.zalando.co.uk/wal-g-cole-puff-sleeve-skater-dress-cocktail-dress-party-dress-white-wg021c0s9-a11.html,https://www.zalando.co.uk/wal-g-cole-puff-sleeve-skater-dress-cocktail-dress-party-dress-white-wg021c0s9-a11.html,WAL G.,COLE PUFF SLEEVE SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£38.99,white,--,--,--,--,"96% polyester, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Backless,Plain,--,WG021C0S9-A11,Short,Elbow length,"34.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.802744094,4482,https://www.zalando.co.uk/pieces-maternity-pmolaia-dress-day-dress-blackbright-white-piv29f03m-q11.html,https://www.zalando.co.uk/pieces-maternity-pmolaia-dress-day-dress-blackbright-white-piv29f03m-q11.html,Pieces Maternity,PMOLAIA DRESS , Day dress,summer-dresses,Â£43.99,black/white,--,--,--,--,"70% viscose, 30% polyamide",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Animal print,--,PIV29F03M-Q11,Knee-length,"22.5 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.618597921,1872,https://www.zalando.co.uk/in-the-style-jossa-puff-sleeve-wrap-midi-dress-cocktail-dress-party-dress-brown-i0421c01t-o11.html,https://www.zalando.co.uk/in-the-style-jossa-puff-sleeve-wrap-midi-dress-cocktail-dress-party-dress-brown-i0421c01t-o11.html,IN THE STYLE,JOSSA PUFF SLEEVE WRAP MIDI DRESS , Day dress,summer-dresses,Â£48.99,red,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Animal print,--,I0421C01T-O11,Knee-length,Elbow length,"45.5 "" (Size 6)",Regular Fit,--,"14.0 "" (Size 6)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.979812193,2324,https://www.zalando.co.uk/notes-du-nord-becca-dress-day-dress-vintage-rose-n0p21c00w-j11.html,https://www.zalando.co.uk/notes-du-nord-becca-dress-day-dress-vintage-rose-n0p21c00w-j11.html,Notes du Nord,BECCA DRESS , Day dress,summer-dresses,Â£199.99,multi-coloured,--,--,--,--,"65% cotton, 32% nylon, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Floral,"Bust darts, belt included, rhinestones",N0P21C00W-J11,Calf-length,"28.0 "" (Size 10)","47.0 "" (Size 10)",Regular Fit,--,"15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.315528861,4260,https://www.zalando.co.uk/depeche-dress-day-dress-black-de321c00h-q11.html,https://www.zalando.co.uk/depeche-dress-day-dress-black-de321c00h-q11.html,DEPECHE,DRESS , Day dress,summer-dresses,Â£334.99,black,--,--,--,--,100% leather,--,--,Standing collar,--,--,Zip,--,Plain,Elasticated waist,DE321C00H-Q11,Knee-length,Short,"43.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.98185276,5917,https://www.zalando.co.uk/only-carmakoma-carjemma-life-dress-day-dress-medium-blue-denim-ona21c0cw-k11.html,https://www.zalando.co.uk/only-carmakoma-carjemma-life-dress-day-dress-medium-blue-denim-ona21c0cw-k11.html,ONLY Carmakoma,CARJEMMA LIFE DRESS , Day dress,summer-dresses,Â£47.99,denim,--,--,--,--,100% lyocell,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,Bust darts,ONA21C0CW-K11,Knee-length,"18.0 "" (Size 16)","43.0 "" (Size 16)",Regular Fit,--,"17.5 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.12997362,3409,https://www.zalando.co.uk/inwear-padiaiw-dress-day-dress-black-in321c0e4-q11.html,https://www.zalando.co.uk/inwear-padiaiw-dress-day-dress-black-in321c0e4-q11.html,InWear,PADIAIW DRESS , Day dress,summer-dresses,Â£124.99,black,--,--,--,--,"97% polyester, 3% elastane","94% polyester, 6% elastane","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,"Belt included, slip",IN321C0E4-Q11,Calf-length,Sleeveless,"51.5 "" (Size 8)",Regular Fit,--,"12.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.571245315,7405,https://www.zalando.co.uk/michael-michael-kors-midi-wrap-cocktail-dress-party-dress-black-mk121c0ka-q11.html,https://www.zalando.co.uk/michael-michael-kors-midi-wrap-cocktail-dress-party-dress-black-mk121c0ka-q11.html,MICHAEL Michael Kors,MIDI WRAP , Cocktail dress / Party dress,Cocktail Dresses,Â£234.99,black,--,--,--,--,100% polyester,100% polyester,"Machine wash at 30Â°C, Machine wash on gentle cycle",Volant collar,--,--,Laces,--,Floral,Slip,MK121C0KA-Q11,Calf-length,Short,"42.5 "" (Size S)",Regular Fit,--,"14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.803409479,2774,https://www.zalando.co.uk/love-copenhagen-kandi-dress-day-dress-beryl-green-l1g21c05f-m11.html,https://www.zalando.co.uk/love-copenhagen-kandi-dress-day-dress-beryl-green-l1g21c05f-m11.html,Love Copenhagen,KANDI DRESS , Maxi dress,summer-dresses,Â£119.99,pastel green,--,--,--,--,"55% viscose, 30% lyocell, 15% nylon",100% viscose,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Backless,Plain,Slip,L1G21C05F-M11,Long,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.719764574,7230,https://www.zalando.co.uk/nly-by-nelly-floral-high-neck-dress-cocktail-dress-party-dress-multi-coloured-neg21c0gs-t11.html,https://www.zalando.co.uk/nly-by-nelly-floral-high-neck-dress-cocktail-dress-party-dress-multi-coloured-neg21c0gs-t11.html,Nly by Nelly,FLORAL HIGH NECK DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£42.99,sand,--,--,--,Semi-sheer,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Zip,--,Floral,--,NEG21C0GS-T11,Short,"25.5 "" (Size 8)","35.5 "" (Size 8)",Slim Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.725829755,6810,https://www.zalando.co.uk/wal-g-shakeela-skater-dress-cocktail-dress-party-dress-dark-brown-wg021c0qq-o11.html,https://www.zalando.co.uk/wal-g-shakeela-skater-dress-cocktail-dress-party-dress-dark-brown-wg021c0qq-o11.html,WAL G.,SHAKEELA SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£38.99,brown,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,Plain,Wired bustier,WG021C0QQ-O11,Extra short,Extra short,"34.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.098764275,7171,https://www.zalando.co.uk/twinset-dress-cocktail-dress-party-dress-neroneve-tw321c07e-q11.html,https://www.zalando.co.uk/twinset-dress-cocktail-dress-party-dress-neroneve-tw321c07e-q11.html,TWINSET,DRESS , Jersey dress,Cocktail Dresses,Â£179.99,black/white,--,--,"Jersey, chiffon",--,"68% viscose, 27% polyamide, 5% elastane",--,Dry clean only,Standing collar,--,--,Zip,--,--,Inseam pockets,TW321C07E-Q11,Short,"28.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8",--,--,--,--,--,--,100% polyester,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.753989672,726,https://www.zalando.co.uk/desigual-woman-tops-day-dress-black-de121c0zz-q11.html,https://www.zalando.co.uk/desigual-woman-tops-day-dress-black-de121c0zz-q11.html,Desigual,WOMAN TOPS , Day dress,summer-dresses,Â£94.99,black multi-coloured,--,--,Rib,--,"94% viscose, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,--,Colourful,--,DE121C0ZZ-Q11,Knee-length,"22.5 "" (Size S)","44.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.42831756,7389,https://www.zalando.co.uk/saint-tropez-aileensz-dress-cocktail-dress-party-dress-black-s2821c0d9-q11.html,https://www.zalando.co.uk/saint-tropez-aileensz-dress-cocktail-dress-party-dress-black-s2821c0d9-q11.html,Saint Tropez,AILEENSZ DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£44.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Plain,Belt included,S2821C0D9-Q11,Knee-length,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.317728339,7319,https://www.zalando.co.uk/gina-tricot-jonna-cocktail-dress-party-dress-black-gid21c08j-q11.html,https://www.zalando.co.uk/gina-tricot-jonna-cocktail-dress-party-dress-black-gid21c08j-q11.html,Gina Tricot,JONNA  , Cocktail dress / Party dress,Cocktail Dresses,Â£54.99,black,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Plain,--,GID21C08J-Q11,Short,"23.5 "" (Size 36)","35.0 "" (Size 36)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 36","16.0 "" (Size 36)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.018457993,3541,https://www.zalando.co.uk/only-tall-onlnella-wrap-midi-dress-day-dress-night-sky-dusty-blue-ond21c080-k11.html,https://www.zalando.co.uk/only-tall-onlnella-wrap-midi-dress-day-dress-night-sky-dusty-blue-ond21c080-k11.html,ONLY Tall,ONLNELLA WRAP MIDI DRESS , Day dress,summer-dresses,Â£30.99,navy,--,--,Rib,--,"70% polyester, 26% viscose, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Cache-coeur,Striped,--,OND21C080-K11,Calf-length,Sleeveless,"51.5 "" (Size S)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
