Style options,Styles,Random order,Original order,,link,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,classic,0.232115401,6271,,https://www.zalando.co.uk/vila-visateeny-v-neck-ankle-dress-occasion-wear-navy-v1021c2wy-k11.html,VISATEENY V NECK ANKLE DRESS , Occasion wear,Occasion dresses,Â£54.99,navy,--,--,Satin,--,100% polyester,--,"Do not tumble dry, Do not wash",--,--,--,Zip,Backless,Plain,--,V1021C2WY-K11,Long,Short,"56.0 "" (Size 10)",Slim Fit,--,"14.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.387811731,7529,,https://www.zalando.co.uk/drykorn-malasi-day-dress-schwarz-dr221c054-q11.html,MALASI , Day dress,Cocktail Dresses,Â£179.99,black,100% cotton,--,Jersey,--,"91% cotton, 9% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,DR221C054-Q11,Calf-length,Short,"51.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.65723375,211,,https://www.zalando.co.uk/only-wickel-day-dress-night-sky-on321c1t0-k11.html,ONLCARLY  , Day dress,summer-dresses,Â£30.99,navy,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Do not iron, Do not bleach",--,--,--,--,--,--,--,ON321C1T0-K11,--,Long,"36.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.561954624,4014,,https://www.zalando.co.uk/2nd-day-sherman-day-dress-jet-black-s3821u02y-q11.html,SHERMAN DEMAND , Day dress,summer-dresses,Â£529.99,black,--,--,--,--,100% leather,100% cotton,Clean with leather care products,Hood,--,--,Button,--,Plain,"Belt included, inseam pockets",S3821U02Y-Q11,Calf-length,Extra short,"44.0 "" (Size 10)",Regular Fit,--,"20.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.654068797,7592,,https://www.zalando.co.uk/zign-day-dress-grey-zi121c026-c11.html,REDEZIGN  , Day dress,Cocktail Dresses,Â£21.24,grey,--,--,Jersey,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,ZI121C026-C11,Calf-length,Extra short,"42.5 "" (Size M)",Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.309791637,5759,,https://www.zalando.co.uk/superdry-day-dress-washed-black-su221c0o1-q11.html,Day dress,,summer-dresses,Â£44.99,black,--,--,--,--,100% lyocell,--,"Do not bleach, do not tumble dry",--,--,--,--,--,--,--,SU221C0O1-Q11,Short,Elbow length,--,Regular Fit,--,--,--,--,--,--,--,--,100% lyocell,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.257358633,7188,,https://www.zalando.co.uk/patrizia-pepe-abito-jersey-dress-silver-lurex-p1421c0is-d11.html,ABITO , Cocktail dress / Party dress,Cocktail Dresses,Â£359.99,silver,--,--,Knit,--,"69% viscose, 18% polyamide, 13% polyester",--,Hand wash only,--,--,--,--,Low-cut v-neck,Marl,--,P1421C0IS-D11,Knee-length,"25.0 "" (Size 10)","36.0 "" (Size 10)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.212738698,5815,,https://www.zalando.co.uk/billabong-dream-big-day-dress-black-bi721c031-q11.html,DREAM BIG , Day dress,summer-dresses,Â£64.99,black multi-coloured,--,--,--,--,100% viscose,100% viscose,Hand wash only,--,--,--,Button,Low-cut v-neck,Floral,Slip,BI721C031-Q11,Knee-length,"17.5 "" (Size S)","43.5 "" (Size S)",Regular Fit,--,"17.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.093336284,3751,,https://www.zalando.co.uk/drykorn-tiia-day-dress-ecru-dr221c05c-a11.html,TIIA , Day dress,summer-dresses,Â£169.99,black/white,--,Yes,--,--,"60% cotton, 40% viscose",100% cotton,Hand wash only,--,--,--,Button,Crew neck,Print,Slip,DR221C05C-A11,Knee-length,"21.5 "" (Size 8)","44.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.268432466,600,,https://www.zalando.co.uk/tommy-hilfiger-regular-hilfiger-hoodie-dress-day-dress-blazer-red-to121c0fz-g11.html,REGULAR HILFIGER HOODIE DRESS , Day dress,summer-dresses,Â£90.99,red,--,--,Sweat,--,"64% cotton, 36% polyester",--,"Machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,Hoodie pocket,--,--,Plain,Embroidery,TO121C0FZ-G11,Knee-length,"27.0 "" (Size S)","39.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.219926381,4280,,https://www.zalando.co.uk/gestuz-nankita-zipper-collar-dress-day-dress-light-grey-melange-ge221c0ac-c11.html,NANKITA ZIPPER COLLAR DRESS , Day dress,summer-dresses,Â£119.99,grey,--,--,Sweat,--,100% cotton,--,--,Turn-down collar,--,--,Zip,--,Marl,--,GE221C0AC-C11,Knee-length,"28.5 "" (Size S)","41.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.57598684,1398,,https://www.zalando.co.uk/esprit-dresses-light-day-dress-off-white-es121c22k-a11.html,DRESSES LIGHT , Day dress,summer-dresses,Â£55.00,bright multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Print,--,ES121C22K-A11,Knee-length,"25.0 "" (Size 10)","44.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.032629535,6746,,https://www.zalando.co.uk/nly-by-nelly-twist-bust-dress-cocktail-dress-party-dress-black-neg21c0hr-q11.html,TWIST BUST DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,black,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,--,NEG21C0HR-Q11,Calf-length,"21.0 "" (Size S)","46.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.669287221,3802,,https://www.zalando.co.uk/stella-nova-pen-day-dress-blackgreen-sv521c02r-m11.html,PEN , Day dress,summer-dresses,Â£259.99,black/green,--,--,--,--,"56% polyester, 44% nylon",100% polyester,--,Standing collar,--,--,Button,--,--,Slip,SV521C02R-M11,Calf-length,Short,"43.5 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","13.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.39368321,4116,,https://www.zalando.co.uk/obey-clothing-tara-dress-day-dress-atlantic-blue-multi-ob021c011-k11.html,TARA DRESS , Day dress,summer-dresses,Â£84.99,blue,--,--,--,--,100% cotton,--,Machine wash at 30Â°C,--,--,--,Laces,--,Checked,Adjustable straps,OB021C011-K11,Extra short,Spaghetti straps,"32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.361906818,7084,,https://www.zalando.co.uk/pinko-livorno-dress-cocktail-dress-party-dress-black-p6921c0c8-q11.html,LIVORNO DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£264.99,black,--,--,Faux leather,--,100% polyester,100% polyamide,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Hook fasteningÂ ,Low-cut v-neck,Plain,"Zip fastening, slip",P6921C0C8-Q11,Short,"25.0 "" (Size 10)","33.0 "" (Size 10)",Bodycon,--,"15.0 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.5132274,2671,,https://www.zalando.co.uk/designers-remix-valerie-volume-dress-day-dress-cream-dea21c04s-a11.html,VALERIE VOLUME DRESS , Day dress,summer-dresses,Â£149.99,off-white,--,--,Satin,Semi-sheer,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Plain,Elasticated waist,DEA21C04S-A11,Short,"21.5 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,girly,0.500293513,5859,,https://www.zalando.co.uk/mamalicious-mlcorella-dress-day-dress-zephyr-m6429f18h-j11.html,MLCORELLA DRESS , Day dress,summer-dresses,Â£33.99,pink,--,--,Velvet/velour,--,100% viscose,--,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,M6429F18H-J11,Short,"23.0 "" (Size 8)","35.5 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.466663755,1645,,https://www.zalando.co.uk/vila-v-neck-day-dress-captains-blue-v1021c2yf-k11.html,V NECK , Day dress,summer-dresses,Â£39.99,blue,--,--,--,--,100% polyester,100% polyester,--,Standing collar,--,--,Laces,--,Paisley,"Belt included, slip",V1021C2YF-K11,Short,"20.0 "" (Size 8)","36.0 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.349799024,414,,https://www.zalando.co.uk/vila-vimicada-v-neck-dress-cocktail-dress-party-dress-navy-blazer-v1021c2wn-k11.html,VIMICADA , Day dress,summer-dresses,Â£34.99,navy,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Low-cut v-neck,Plain,"Belt included, slip",V1021C2WN-K11,Short,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.584335938,1866,,https://www.zalando.co.uk/anna-field-mama-day-dress-multi-coloureded-ex429f04q-t11.html,Day dress,,summer-dresses,Â£31.49,black multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Cache-coeur,Floral,"Belt included, bust darts, slip",EX429F04Q-T11,Knee-length,"23.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,--,"13.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.151837903,5540,,https://www.zalando.co.uk/yas-yasholi-midi-dress-day-dress-rain-forest-y0121c0z9-m12.html,YASHOLI MIDI DRESS , Day dress,summer-dresses,Â£89.99,dark green,--,--,--,--,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Plain,"Bust darts, slip",Y0121C0Z9-M12,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","13.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.052085673,1347,,https://www.zalando.co.uk/part-two-mila-day-dress-blue-blurred-print-p2121c0d7-k11.html,MILA , Day dress,summer-dresses,Â£109.99,blue,--,--,--,--,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Crew neck,Print,Slip,P2121C0D7-K11,Short,"25.5 "" (Size 8)","37.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.567182079,6724,,https://www.zalando.co.uk/lauren-ralph-lauren-tie-sleeveless-taffeta-dress-cocktail-dress-party-dress-french-navy-l4221c1dt-k11.html,TIE,NECK SLEEVELESS TAFFETA DRESS ,Cocktail Dresses,Â£289.99,navy,--,--,--,--,"94% cotton, 6% elastane",--,--,Standing collar,--,--,Zip,--,Plain,"Inseam pockets, bow",L4221C1DT-K11,Knee-length,Sleeveless,"43.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10","14.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.394719815,1813,,https://www.zalando.co.uk/esprit-day-dress-black-es121c22v-q11.html,Day dress,,summer-dresses,Â£39.99,black,--,--,--,--,100% viscose,--,"Do not bleach, do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,Plain,--,ES121C22V-Q11,Calf-length,Long,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.386429808,611,,https://www.zalando.co.uk/abercrombie-and-fitch-vneck-puff-day-dress-blue-floral-a0f21c09s-k11.html,VNECK PUFF , Day dress,summer-dresses,Â£64.99,electric blue,--,--,--,--,"60% cotton, 40% polyester",100% cotton,Machine wash at 30Â°C,--,--,--,Zip,Low-cut v-neck,Floral,"Bust darts, bow",A0F21C09S-K11,Short,Elbow length,"31.0 "" (Size S)",Regular Fit,--,"13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.844341861,5737,,https://www.zalando.co.uk/custommade-lamia-day-dress-anthracite-black-cu721c030-q11.html,LAMIA , Day dress,summer-dresses,Â£209.99,black,--,--,--,--,100% cotton,--,--,Peter Pan collar,--,--,Button,--,Plain,Rhinestones,CU721C030-Q11,Short,Long,--,Oversized,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.672747222,6672,,https://www.zalando.co.uk/swing-dress-cocktail-dress-party-dress-ivory-sg721c0lj-a11.html,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£149.99,white,100% polyester,--,--,--,100% polyester,"97% polyester, 3% elastane",--,--,--,--,Zip,Crew neck,Plain,"Bust darts, slip",SG721C0LJ-A11,Calf-length,Short,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.183262869,524,,https://www.zalando.co.uk/vero-moda-vmsasha-bali-short-dress-noos-day-dress-ve121c24u-q11.html,VMSASHA BALI SHORT DRESS , Day dress,summer-dresses,Â£23.99,black,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,"Inseam pockets, bow",VE121C24U-Q11,Knee-length,Short,"36.0 "" (Size S)",--,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.591234336,7246,,https://www.zalando.co.uk/wal-g-jayne-lee-halter-neck-dress-cocktail-dress-party-dress-red-wg021c0n4-g11.html,JAYNE LEE HALTER NECK DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£36.99,red,--,--,Jersey,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Zip,--,Plain,--,WG021C0N4-G11,Knee-length,Sleeveless,"43.0 "" (Size 10)",Bodycon,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.824265784,6969,,https://www.zalando.co.uk/cult-gaia-agnes-cocktail-dress-party-dress-ecru-cui21c00i-a11.html,AGNES  , Cocktail dress / Party dress,Cocktail Dresses,Â£410.00,sand,--,--,--,--,"83% viscose, 14% polyester, 3% elastane",--,--,--,--,--,Zip,Cache-coeur,Marl,Bow,CUI21C00I-A11,Calf-length,Elbow length,"52.5 "" (Size S)",Regular Fit,--,"15.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.708890504,2557,,https://www.zalando.co.uk/weekend-maxmara-catullo-day-dress-verde-mw721c08t-m11.html,CATULLO , Day dress,summer-dresses,Â£269.99,green,--,--,--,--,"54% linen, 32% cotton, 14% polyamide",100% cotton,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Zip,Crew neck,Plain,"Belt included, inseam pockets",MW721C08T-M11,Short,Short,"37.0 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.134492751,1195,,https://www.zalando.co.uk/only-onlevery-hoodie-dress-day-dress-chalk-violet-on321c2p6-i11.html,ONLEVERY HOODIE DRESS , Day dress,summer-dresses,Â£30.99,pastel purple,--,--,Sweat,--,"60% cotton, 40% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Hood,--,--,--,--,Marl,Inseam pockets,ON321C2P6-I11,Short,"23.5 "" (Size S)","32.5 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.436059338,4051,,https://www.zalando.co.uk/vila-curve-vigabrielle-modesty-o-neck-ankle-dress-day-dress-navy-blazer-v0h21c013-t11.html,VIGABRIELLE MODESTY O,NECK ANKLE DRESS ,summer-dresses,Â£47.99,multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,--,--,--,--,Button,Crew neck,Floral,"Bust darts, slip",V0H21C013-T11,Long,"25.5 "" (Size 18)","55.0 "" (Size 18)",Regular Fit,--,"17.0 "" (Size 18)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.796396532,2982,,https://www.zalando.co.uk/glamorous-curve-wrap-front-mini-dress-with-puff-long-sleeves-day-dress-mono-geo-flower-gla21c095-q11.html,WRAP FRONT MINI DRESS WITH PUFF LONG SLEEVES , Day dress,summer-dresses,Â£38.99,black/white,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Laces,Cache-coeur,Print,Bow,GLA21C095-Q11,Short,"23.0 "" (Size 16)","37.5 "" (Size 16)",Regular Fit,--,"16.0 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.599152414,3730,,https://www.zalando.co.uk/superdry-track-and-field-day-dress-grey-marl-su221c0oo-c13.html,Day dress,,summer-dresses,Â£54.99,grey,--,--,Sweat,--,"55% cotton, 45% polyester",--,"Do not bleach, do not tumble dry",Hood,--,Hoodie pocket,--,--,Marl,Elasticated waist,SU221C0OO-C13,Short,Extra long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.386240564,7308,,https://www.zalando.co.uk/wal-g-tennie-skater-dress-cocktail-dress-party-dress-blackwhite-wg021c0of-q11.html,TENNIE SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£47.99,black/white,--,--,Lace,--,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30Â°C",--,--,--,Zip,Low-cut v-neck,--,Adjustable straps,WG021C0OF-Q11,Knee-length,Spaghetti straps,"38.0 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.952920053,1206,,https://www.zalando.co.uk/superdry-day-dress-black-su221c0pi-q11.html,Day dress,,summer-dresses,Â£30.00,black,--,--,--,--,100% viscose,--,"Do not tumble dry, Do not bleach",--,--,--,--,Cache-coeur,Animal print,Belt included,SU221C0PI-Q11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.121570221,6892,,https://www.zalando.co.uk/cult-gaia-muna-dress-cocktail-dress-party-dress-palm-cui21c00w-m11.html,MUNA DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£510.00,army green,--,--,--,--,"38% linen, 25% wool, 20% viscose, 17% silk",100% cotton,Dry cleaning,--,--,--,Zip,Low-cut v-neck,Plain,Slip,CUI21C00W-M11,Calf-length,Elbow length,"40.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.373885502,694,,https://www.zalando.co.uk/moss-copenhagen-nilia-dress-day-dress-grapeade-m0y21c08r-i11.html,NILIA DRESS , Day dress,summer-dresses,Â£76.49,purple,--,--,--,--,"90% viscose, 10% polyester",--,--,Lapel collar,--,--,Button,--,Plain,Belt included,M0Y21C08R-I11,Calf-length,"23.5 "" (Size S)","45.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.220103257,7021,,https://www.zalando.co.uk/ivy-and-oak-dress-cocktail-dress--party-dress-iv321c03e-m11.html,DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£239.99,dark green,--,--,Lace,--,"75% cotton, 25% nylon","65% cotton, 32% nylon, 3% elastane",--,Standing collar,--,--,Button,Backless,Plain,--,IV321C03E-M11,Knee-length,Short,"41.0 "" (Size 8)",Normal fit,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,edgy,0.650251194,5496,,https://www.zalando.co.uk/object-petite-objmila-gia-dress-day-dress-humus-ob821c03f-a11.html,OBJMILA GIA DRESS  , Day dress,summer-dresses,Â£43.99,brown,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Animal print,Slip,OB821C03F-A11,Short,"23.0 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,"Our model is 5' 5""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,sporty,0.558578655,3597,,https://www.zalando.co.uk/diesel-shift-dress-black-di121c0bt-q11.html,Day dress,,summer-dresses,Â£139.99,black,--,--,--,--,"74% nylon, 26% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Laces,Crew neck,--,--,DI121C0BT-Q11,Short,Spaghetti straps,"37.0 "" (Size S)",Slim Fit,"Our model is 5' 9""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.913514824,2342,,https://www.zalando.co.uk/in-the-style-cocktail-dress-party-dress-grey-i0421c01m-c11.html,CARYS WHITTAKER HOUNDSTOOTH BELTED MINI DRESS , Day dress,summer-dresses,Â£33.99,grey,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,--,Checked,"Belt included, inseam pockets, bust darts, adjustable straps",I0421C01M-C11,Short,Spaghetti straps,"34.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,classic,0.093863357,6352,,https://www.zalando.co.uk/sistaglam-curve-dasianne-curve-occasion-wear-navy-s4h21c00a-k11.html,DASIANNE CURVE , Occasion wear,Occasion dresses,Â£174.99,navy,--,--,Tulle,--,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",--,--,--,Zip,Cache-coeur,Plain,"Bust darts, slip, sequins",S4H21C00A-K11,Long,"25.0 "" (Size 16)","58.5 "" (Size 16)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,casual chic,0.096742164,5664,,https://www.zalando.co.uk/vero-moda-vmzallie-wrap-dress-day-dress-desert-sagezallie-ve121c2ny-m12.html,VMZALLIE WRAP DRESS , Day dress,summer-dresses,Â£34.99,grey,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Floral,"Bust darts, slip",VE121C2NY-M12,Short,"23.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
