,cv_predicted,Styles,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
688,edgy,trendy,Max Mara Leisure,GAETANA , Cocktail dress / Party dress,Cocktail Dresses,159.99,silver,100% polyester,Yes,Satin,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cowl neck,Plain,Adjustable straps,M1X21C029-K11,Calf-length,Spaghetti straps,"49.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
689,edgy,alternative,JDY,JDYLION LAYER DRESS , Day dress,summer-dresses,23.99,pastel green,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Floral,Slip,JY121C0L4-N11,Extra short,"25.0 "" (Size 8)","35.5 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)"
690,trendy,trendy,Never Fully Dressed,FACES NEHA DRESS , Day dress,summer-dresses,119.99,bright multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Colourful,Bust darts,NEN21C04J-T11,Calf-length,"27.5 "" (Size S)","53.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S","13.5 "" (Size S)"
691,casual chic,alternative,EDITED,DORISA DRESS , Day dress,summer-dresses,59.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Paisley,Bust darts,EDD21C0JG-Q11,Extra short,"24.5 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)"
692,classic,classic,Swing,DRESS MADE OF SUSTAINABLE SCUBA , Cocktail dress / Party dress,Cocktail Dresses,124.99,multi-coloured,"92% polyester, 8% elastane",Yes,Jersey,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Inseam pockets,SG721C0LY-K11,Knee-length,Sleeveless,"36.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 8)"
693,casual chic,casual chic,Vero Moda,VMFAY SHORT V NECK DRESS , Day dress,summer-dresses,34.99,black,100% polyester,Yes,Jersey,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Print,Slip,VE121C3C1-Q11,Short,"26.0 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
694,girly,girly,Swing,DRESS WITH EMBROIDERY , Cocktail dress / Party dress,Cocktail Dresses,174.99,white,100% polyester,Yes,"Chiffon, tulle",Semi-sheer,100% polyester,"97% polyester, 3% elastane","Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,"Slip, embroidery",SG721C0LV-A11,Calf-length,Elbow length,"47.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 10)"
695,casual chic,casual chic,SUMMERY Copenhagen,DRESS , Day dress,summer-dresses,164.99,green,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, Hand wash only",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Checked,Slip,CEC21C049-M11,Knee-length,Short,"35.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size S)"
696,alternative,alternative,LASCANA,MIDIKLEID , Day dress,summer-dresses,59.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Floral,Bow,L8321C00O-T11,Calf-length,"20.5 "" (Size 8)","47.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
697,casual chic,casual chic,Marc O'Polo DENIM,Day dress, Day dress,summer-dresses,104.99,pastel blue,100% polyester,Yes,Cord,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Slip,OP521C05T-I11,Knee-length,"24.5 "" (Size S)","36.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","16.0 "" (Size S)"
698,alternative,alternative,Noa Noa,ARTISAN  , Day dress,summer-dresses,89.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Inseam pockets,NN121C0EG-K11,Knee-length,"21.5 "" (Size S)","37.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)"
699,edgy,edgy,Superdry,STUDIOS  , Day dress,summer-dresses,30.0,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,Slip,SU221D265-Q13,Short,Long,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
700,trendy,trendy,Massimo Dutti,Day dress, Day dress,summer-dresses,89.95,black,100% polyester,Yes,Chiffon,Semi-sheer,"96% cotton, 4% polyamide",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,M3I21C0IH-Q11,Calf-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
701,edgy,edgy,Superdry,Day dress, Day dress,summer-dresses,54.99,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not bleach, do not tumble dry",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,SU221C0OS-T11,Thigh-length,Long,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
702,casual chic,casual chic,Glamorous,SHIRRED MIDI DRESS WITH STATEMENT FRILL TIE BACK , Day dress,summer-dresses,44.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Laces,Backless,Print,Slip,GL921C0RE-T11,Knee-length,Sleeveless,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
703,trendy,trendy,Mango,ALMOND , Day dress,summer-dresses,49.99,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, Hand wash only, Dry cleanable",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,M9121C5KK-Q11,Short,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
704,casual chic,casual chic,s.Oliver,DRESS CROCHET , Day dress,summer-dresses,34.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Bow,SO281H01A-A11,Short,Elbow length,"35.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
705,edgy,edgy,Superdry,Day dress, Day dress,summer-dresses,39.99,army green,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,SU221C0NH-N11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
706,alternative,alternative,Cotton On Petite,PETITE DRESS , Day dress,summer-dresses,28.99,burnt orange,100% polyester,Yes,Rib,Semi-sheer,"72% viscose, 28% polyimide",100% polyester,"Do not tumble dry, Hand wash only",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,C6A21C008-B11,Short,Short,"32.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
707,classic,classic,By Malene Birger,BIELLE , Day dress,summer-dresses,189.99,orange,100% polyester,Yes,Chiffon,Semi-sheer,"96% polyester, 4% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,BY121C09M-O11,Knee-length,"21.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size 8)"
708,classic,classic,Vero Moda,VMKATNISS SHORT DRESS , Day dress,summer-dresses,34.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,"Belt included, bust darts, slip",VE121C2PA-K11,Short,Sleeveless,"34.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","11.5 "" (Size S)"
709,alternative,alternative,ONLY Carmakoma,CARSOJA TUNICDRESS , Day dress,summer-dresses,25.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"70% polyester, 25% viscose, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,ONA21C0HU-Q11,Short,"18.0 "" (Size S-14/16)","34.5 "" (Size S-14/16)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size S-14/16)"
710,sporty,sporty,Moss Copenhagen,IMA DRESS , Day dress,summer-dresses,55.24,sand,100% polyester,Yes,Sweat,Semi-sheer,"76% viscose, 18% polyester, 6% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,M0Y21C07J-B11,Knee-length,"23.5 "" (Size S/M)","34.5 "" (Size S/M)",Oversized,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
711,casual chic,casual chic,ONLY Carmakoma,CARLOLLILISE CALF DRESS  , Day dress,summer-dresses,47.99,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Button row,ONA21C0GA-K11,Calf-length,"28.0 "" (Size 16)","51.5 "" (Size 16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 16","18.5 "" (Size 16)"
712,alternative,alternative,Madewell,TIERED GIFT  , Day dress,summer-dresses,94.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Belt,Cache-coeur,Floral,"Belt included, slip",M3J21C03D-Q11,Short,"18.0 "" (Size S)","34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
713,trendy,trendy,Desigual,VEST CHARLOTTE DESIGNED BY M. CHRISTIAN LACROIX , Jersey dress,summer-dresses,119.99,electric blue,100% polyester,Yes,Jersey,Semi-sheer,"47% polyester, 45% viscose, 5% elastane, 3% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,DE121C0Z5-T11,Calf-length,Sleeveless,"51.5 "" (Size M)",Slim Fit,"Our model is 5' 10""  tall and is wearing size M","14.0 "" (Size 8)"
714,casual chic,casual chic,Vero Moda Curve,VMSMILLA DRESS , Day dress,summer-dresses,27.89,black,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Plain,Bust darts,VEE21C08G-Q11,Short,"26.0 "" (Size 16)","39.0 "" (Size 16)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 16","17.5 "" (Size 16)"
715,edgy,trendy,Mango,MOGAMBOL H , Day dress,summer-dresses,39.99,blue,100% polyester,Yes,Chiffon,Semi-sheer,"45% viscose, 40% cotton, 15% linen",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Plain,Adjustable straps,M9121C5IF-K11,Calf-length,Spaghetti straps,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
716,girly,girly,ONLY,ONLMARCELA WRAP DRESS , Day dress,summer-dresses,29.74,green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Cache-coeur,Pinstriped,"Elasticated waist, slip, bow",ON321C2O1-M11,Short,"23.5 "" (Size S)","34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size S)"
717,trendy,trendy,Selected Femme,SLFWOODIE  , Day dress,summer-dresses,114.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Print,"Inseam pockets, bow",SE521C13J-B11,Calf-length,"25.5 "" (Size 36)","47.0 "" (Size 36)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 36","14.0 "" (Size 36)"
718,girly,girly,YAS,YASHUNTER DRESS , Day dress,summer-dresses,59.99,white multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Bust darts,Y0121C1SR-A11,Short,"25.0 "" (Size S)","36.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size S)"
719,girly,girly,Vero Moda,VMGINNY SHORTDRESS , Day dress,summer-dresses,34.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,VE121C3B2-J11,Short,"16.5 "" (Size S)","32.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)"
720,classic,classic,Esprit,Day dress, Day dress,summer-dresses,45.0,navy,100% polyester,Yes,Chiffon,Semi-sheer,"97% cotton, 3% elastane",100% polyester,"Do not bleach, do not tumble dry",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,ES121C24Q-K11,Short,Short,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
721,trendy,trendy,Mango,MARGA L , Day dress,summer-dresses,49.99,black/white,100% polyester,Yes,Chiffon,Semi-sheer,"97% cotton, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Floral,Bow,M9121C5KA-Q11,Calf-length,Spaghetti straps,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
722,classic,classic,Swing,Cocktail dress / Party dress, Day dress,Cocktail Dresses,129.99,dark green,100% polyester,Yes,Lace,Semi-sheer,"86% polyamide, 12% polyester, 2% elastane","92% polyester, 8% elastane","Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,SG721C0JU-M11,Knee-length,"18.0 "" (Size 8)","38.5 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
723,edgy,casual chic,Anna Field,Day dress, Day dress,summer-dresses,20.14,dark green,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Slip,AN621C1L8-M11,Extra short,"25.0 "" (Size 8)","37.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)"
724,girly,trendy,Mango,BRIT , Cocktail dress / Party dress,Cocktail Dresses,49.99,pastel yellow,100% polyester,Yes,Satin,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cowl neck,Plain,Rhinestones,M9121C5KT-E11,Extra short,Spaghetti straps,"34.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
725,sporty,sporty,HUGO,DASERENA LABEL , Day dress,summer-dresses,149.99,pastel pink,100% polyester,Yes,Sweat,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Hood,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Elasticated waist,HU721C0HR-J11,Knee-length,"24.5 "" (Size S)","37.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
726,alternative,classic,Esprit Collection,Day dress, Day dress,summer-dresses,59.0,black,100% polyester,Yes,Knit,Semi-sheer,"70% viscose, 25% polyester, 5% elastane",100% polyester,"Do not bleach, do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Belt included,ES421C1L3-Q11,Calf-length,3/4 length,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
727,sporty,sporty,GAP,ZIP DRESS , Day dress,summer-dresses,30.79,black,100% polyester,Yes,Sweat,Semi-sheer,"60% cotton, 40% polyester",100% polyester,"Machine wash at 30°C, Machine wash on gentle cycle",Zip neck,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,GP021C0K8-Q11,Short,"24.0 "" (Size M)","34.0 "" (Size M)",Loose Fit,"Our model is 5' 9""  tall and is wearing size M","14.0 "" (Size 8)"
728,classic,classic,Glamorous,LOOSE FIT MIDI DRESS WITH PUFF SLEEVES , Day dress,summer-dresses,49.99,black,100% polyester,Yes,Chiffon,Semi-sheer,"53% viscose, 39% polyester, 8% polyamide",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,GL921C0RA-Q11,Knee-length,"17.0 "" (Size 8)","44.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)"
729,casual chic,alternative,Vila,VIZALINE  , Day dress,summer-dresses,18.99,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Floral,Slip,V1021C2Y5-T11,Short,Elbow length,"35.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
730,trendy,trendy,WAL G.,ZIP SKATER DRESS , Cocktail dress / Party dress,Cocktail Dresses,37.99,red,100% polyester,Yes,Chiffon,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Padded bust,WG021C0RN-G11,Short,Sleeveless,"32.5 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
731,trendy,trendy,KARL LAGERFELD,METALLIC DRESS , Cocktail dress / Party dress,Cocktail Dresses,349.99,gold,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Button,Low-cut v-neck,Marl,"Belt included, slip",K4821C054-F11,Long,Long,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
732,trendy,trendy,Vivetta,VINTAGE 70S DRESS , Day dress,summer-dresses,525.0,black multi-coloured,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,Asymmetrical,Hoodie pocket,Button,Crew neck,Floral,Slip,VIQ21C01N-H11,Short,"22.0 "" (Size 8)","36.0 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)"
733,classic,classic,Massimo Dutti,MIT TROPFENAUSSCHNITT AM RÃœCKEN , Day dress,summer-dresses,119.0,navy,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,M3I21C0J3-K11,Knee-length,Long,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
734,classic,classic,Sand Copenhagen,AMBAR , Day dress,summer-dresses,394.99,black/white,100% polyester,Yes,Chiffon,Semi-sheer,"98% cotton, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Floral,Slip,SAA21C02P-A11,Short,Elbow length,"37.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
735,trendy,trendy,NEW girl ORDER,FLARE SLEEVE DRESS , Cocktail dress / Party dress,Cocktail Dresses,54.99,pink,100% polyester,Yes,Satin,Semi-sheer,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Bust darts, slip",NEM21C01S-J11,Short,"25.5 "" (Size 8)","31.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
736,sporty,sporty,TOM TAILOR DENIM,DRESS , Day dress,summer-dresses,40.99,navy,100% polyester,Yes,PiquÃ©,Semi-sheer,"60% cotton, 40% polyester",100% polyester,"Machine wash at 40°C, do not tumble dry",Polo shirt,Asymmetrical,Hoodie pocket,Zip,Crew neck,Plain,Slip,TO721C0EP-K12,Short,Short,"33.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size 8)"
737,classic,classic,DEPECHE,DRESS , Day dress,summer-dresses,299.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% leather,100% polyester,"Do not tumble dry, Do not wash",Standing collar,Asymmetrical,Hoodie pocket,Zip,V-neck,Plain,Belt included,DE321C00M-O11,Knee-length,Short,"44.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 10)"
738,trendy,trendy,MARIJA KULUSIC,LINDRES , Cocktail dress / Party dress,Cocktail Dresses,425.0,black,100% polyester,Yes,Chiffon,Semi-sheer,100% viscose,100% polyester,Dry clean only,Standing collar,Asymmetrical,Hoodie pocket,Laces,Crew neck,Plain,Slip,MFK21C000-Q11,Calf-length,Short,"53.5 "" (Size M)",Regular Fit,"Our model is 5' 11""  tall and is wearing size M","15.0 "" (Size M)"
739,alternative,alternative,Vero Moda,VMHELI 3/4  WVN GA COLOR , Day dress,summer-dresses,31.49,burnt orange,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,Slip,VE121C2O8-G11,Short,"18.5 "" (Size S)","35.0 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)"
740,alternative,alternative,Missguided Tall,MILKMAID FLORAL DRESS , Day dress,summer-dresses,28.99,brown,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,Machine wash at 30°C,Standing collar,Asymmetrical,Hoodie pocket,Zip,Square neck,Print,Slip,MIG21C0EB-O11,Extra short,"26.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)"
741,trendy,trendy,SamsÃ¸e SamsÃ¸e,CILLE DRESS , Cocktail dress / Party dress,Cocktail Dresses,149.99,pink,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Backless,Plain,Inseam pockets,SA321C0D6-J11,Calf-length,Spaghetti straps,"49.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
742,girly,girly,Superdry,GIA CAMI DRESS , Day dress,summer-dresses,34.99,pastel blue,100% polyester,Yes,Chiffon,Semi-sheer,100% cotton,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,Asymmetrical,Hoodie pocket,Laces,Backless,Striped,Slip,SU221C0IL-K11,Short,Sleeveless,"38.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)"
743,sporty,sporty,Lacoste,Day dress, Day dress,summer-dresses,134.99,bordeaux,100% polyester,Yes,PiquÃ©,Semi-sheer,"67% lyocell, 33% cotton",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,Asymmetrical,Hoodie pocket,Zip,Low-cut v-neck,Plain,"Belt included, inseam pockets",LA221C063-G11,Calf-length,Short,"43.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size 8)"
744,girly,girly,VILA PETITE,VIETINA V NECK DRESS , Day dress,summer-dresses,34.99,white,100% polyester,Yes,Chiffon,Semi-sheer,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Standing collar,Asymmetrical,Hoodie pocket,Zip,Cache-coeur,Plain,Bust darts,VIP21C041-A11,Short,3/4 length,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)"
