"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"classic",4.280083682586248E-8,3.880506853528956E-5,0.7996816132375247,9.930200340077763E-4,0.1292632629052667,7.033781749806426E-13,0.0700232559531253,2860,3796,"Swing","DRESS ",129.99,4,"navy","Jersey","95% polyester, 5% elastane","92% polyester, 8% elastane",,,,"Zip",,"Round neckline","Plain","Bust darts, slip","Short","Sleeveless","Sleeveless","36.5 "" (Size 10)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 10",,"No","No","No","No","No","edgy"
"edgy",0.006736877077243362,0.004271417261388215,3.116857838942539E-4,0.9884966340050434,1.5435385838819194E-4,5.001649919320291E-16,2.903201404193099E-5,2861,3798,"Esqualo","DRESS BLUE ANIMAL PRINT ",94.99,3,"brown","Chiffon","100% viscose","100% modal","Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle","Standing collar",,"Button",,"V-neck","Animal Prints in general","Slip","Short","24.0 "" (Size 8)","Long","38.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","edgy"
"classic",4.619303900022847E-14,5.933995764710023E-15,0.588993567042379,0.35300328128360114,2.3294288565768768E-5,2.712024758380187E-31,0.057979857385401914,2862,3799,"Diane von Furstenberg","TILLY DRESS ",510.0,5,"bright multi-coloured","Satin","100% silk",,"Dry clean only",,,"Belt","Wrap dresses","Low v-neck","Floral",,"Calf length","28.5 "" (Size 8)","Long","51.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","classic"
"classic",6.419697826358428E-4,7.955789437246586E-5,0.999138649125199,1.1485283571960581E-4,4.1648160689773087E-7,2.0439875035533513E-6,2.2509892962688212E-5,2863,3800,"Massimo Dutti","Day dress",49.95,2,"black",,"96% cotton, 3% nylon, 1% elastane",,"Do not tumble dry",,,,,"Low v-neck","Plain",,"Knee length","3/4 length","Elbow length",,"Regular Fit","Regular fit",,,"No","No","No","No","No","classic"
"girly",0.001332876063718229,4.8420017194249815E-5,0.03178088929646607,4.532691201599056E-5,0.9649227075607802,5.475725252565159E-12,0.0018697801443494952,2864,3801,"Nly by Nelly","FRILL SWEETHEART DRESS ",54.99,2,"white","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip","Accentuating the waist","Low round neckline","Floral","Belt included, bust darts, slip","Knee length","Short","Short","42.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)","No","No","No","No","No","girly"
"edgy",5.093323089749915E-4,3.236126247997255E-6,2.56441499897039E-6,0.9994331221982288,4.996053076061039E-5,1.2771822229597636E-12,1.7844195114518709E-6,2865,3802,"Selected Femme","SLFSIV SHORT DRESS ",79.99,2,"black/green",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Belt","Wrap dresses","Low v-neck","Floral",,"Short","18.5 "" (Size 8)","Elbow length","36.0 "" (Size 8)","Regular Fit","Regular fit",,"14.0 "" (Size 8)","No","No","No","No","No","edgy"
"girly",1.4748078889557253E-4,0.024961852285821727,0.08128963756122383,2.2599437559770266E-8,0.891894245841434,3.508584562547247E-6,0.0017032523386247824,2866,3803,"Mango","MALAWIR",35.99,1,"pastel blue",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C",,,,,"Low v-neck","Striped",,"Calf length","Short","Short",,"Loose Fit","Loose fit",,,"No","No","No","No","No","girly"
"edgy",2.7896602263629875E-18,4.6547310113717156E-18,0.2980731124037181,0.6368773180653486,0.005093114338269486,2.6180453003003515E-38,0.059956455192663814,2867,3804,"NÂ°21","ABITO ",660.0,5,"black multi-coloured",,"100% silk",,"Dry clean only",,,"Button",,"Round neckline","Floral",,"Knee length","27.0 "" (Size 10)","Long","36.0 "" (Size 10)","Loose Fit","Loose fit",,"14.0 "" (Size 10)","No","No","No","No","No","alternative"
"trendy",2.91675714736659E-4,7.764777021436228E-4,2.4635053519210945E-5,4.6184998795302545E-6,2.3249207693081877E-7,8.785535122393876E-10,0.9989023596590905,2868,3805,"InWear","MARDIAIW DRESS ",129.99,4,"bright multi-coloured",,"85% viscose, 15% nylon","100% cotton","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Prints in general","Slip","Calf length","22.0 "" (Size 8)","Long","51.0 "" (Size 8)","Loose Fit","Loose fit",,"12.5 "" (Size 8)","No","No","No","No","No","casual chic"
"classic",9.276925304148245E-7,3.770611563744624E-5,0.981572750221785,0.0020487618377832057,3.621083411136249E-4,6.995128329892055E-6,0.01597075066282049,2869,3806,"Hugo Boss","Day dress",289.0,5,"black",,"69% triacetate, 31% polyester",,,,,,,"Round neckline","Plain",,"Knee length","Short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"sporty",2.556203972767585E-5,2.779033122338288E-7,4.8444145020259364E-8,6.407033944758058E-8,3.806098043952037E-11,0.9999740432898686,4.214546084350785E-9,2870,3807,"Superdry","SDX LIMITED EDITION SDX NYC LUXE CREW ",40.0,2,"grey",,"57% polyester, 43% cotton",,"Do not bleach, Do not iron, do not tumble dry",,,,,"Round neckline","Plain","Elasticated waist","Short","Extra long","Long",,"Oversized","Loose fit",,,"No","No","No","No","No","unknown"
"trendy",0.006361997223691965,8.884512098280596E-6,2.7240690021245045E-8,2.8371100939805503E-6,0.2424772126018748,1.2352454198073806E-12,0.7511490413103157,2871,3808,"Monki","Day dress",26.0,1,"black","Satin","100% polyamide",,"Machine wash at 40Â°C",,,"Zip",,"Spaghetti straps","Plain","Bust darts","Calf length","Spaghetti straps","Spaghetti straps","43.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 10","14.0 "" (Size 10)","No","No","No","No","Yes","alternative"
"alternative",0.9125591936127795,0.050315602032961704,0.036149947496921284,1.8883375449304598E-6,9.60576453547451E-4,8.043046112050704E-6,4.7490201328793095E-6,2872,3809,"Only","ONLKARLA GLITTER DRESS ",23.99,1,"army green","Jersey","70% polyester, 28% viscose, 2% metal",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Striped",,"Knee length","Short","Short","36.0 "" (Size S)","Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"trendy",1.1784315718742143E-10,1.3591250995800763E-8,9.71831258580761E-7,0.03385093323517931,1.899618670227097E-5,1.9523244608244535E-20,0.9661290850377657,2873,3810,"Alice + Olivia","JANIS RAGLAN  ",395.0,5,"bright multi-coloured",,"97% cotton, 3% elastane",,,"Standing collar",,"Button","Accentuating the waist",,"Floral","Belt included","Extra short","22.0 "" (Size 8)","Long","34.5 "" (Size 8)","Regular Fit","Regular fit",,"16.5 "" (Size 8)","No","No","No","No","No","unknown"
"edgy",2.4295775270930393E-9,3.675134694230763E-8,2.0678082350013233E-5,0.99988626060574,4.7078651430168176E-5,6.728904702962426E-16,4.5943479554425836E-5,2874,3811,"The Kooples","ROBE ",344.99,5,"pink",,"100% silk","100% viscose","Do not wash",,,"Zip","Wrap dresses","Low v-neck","Prints in general","Slip","Knee length","Elbow length","Elbow length","34.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","casual chic"
"girly",0.30790141391368514,0.09449415786555741,0.0012321617533188902,1.30637770277353E-5,0.5878576821469252,6.919702639887738E-8,0.008501451346459125,2875,3812,"Mango","TEXTUR ",35.99,1,"blue",,"100% polyamide",,"Do not tumble dry",,,,,"Square neckline","Plain",,"Extra short","Elbow length","Elbow length",,"Loose Fit","Loose fit",,,"No","No","No","No","No","girly"
"girly",4.559469907726241E-13,3.14390855956033E-10,1.2303318323095513E-6,1.881581691543025E-8,0.9316988659696978,8.189009031319693E-18,0.06829988456780611,2876,3813,"Jarlo","MADIA ",169.99,4,"white","Satin","100% polyester","98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,"Zip",,"Cowl neckline","Plain","Slip","Maxi/long","Sleeveless","Sleeveless","63.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"trendy",2.5760770927099126E-17,3.759427421074641E-14,3.0875597879643185E-5,1.1603668415213262E-10,0.007007092797144322,2.4733218433437943E-28,0.9929620314889016,2877,3814,"Vivetta","PINEAPPLE  ",500.0,5,"white",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Square neckline","Striped","Bust darts","Calf length","Short","Short","42.0 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)","Yes","No","No","No","No","trendy"
"classic",4.11190468434911E-5,7.67796906892337E-5,0.7924614490271447,0.005148629106706301,0.197187594391529,1.6686169302651718E-5,0.005067742567784727,2878,3815,"HUGO","KULIA ",174.99,4,"white",,"100% cotton","100% cotton","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,"Low v-neck","Plain","Slip","Short","18.5 "" (Size 8)","Elbow length","35.0 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","girly"
"trendy",2.1933830297234818E-7,5.258270316848988E-6,0.03960704587205234,0.21302203243393777,0.04321261840426091,1.3271093098644202E-10,0.7041528255484182,2879,3816,"WAL G.","TIMMY MIDI DRESS ",45.99,2,"red",,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C","Standing collar",,,"Bodycon dresses",,"Plain","Slip","Knee length","Sleeveless","Sleeveless","44.0 "" (Size 10)","Bodycon","Slim fit","Our model is 5' 9""  tall and is wearing size 10",,"No","No","No","No","No","alternative"
"edgy",1.7855251629490317E-6,6.855596321383951E-5,1.192148801162538E-6,0.9998971436673662,6.777950646580082E-6,8.045075260873987E-12,2.45447367640997E-5,2880,3817,"EDITED","GENESIS DRESS ",69.99,2,"brown","Satin","100% polyester",,,,,"Zip",,"Round neckline","Animal Prints in general","Bust darts","Extra short","22.0 "" (Size 10)","Long","32.0 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size 10","13.5 "" (Size 10)","No","No","No","No","No","edgy"
"trendy",2.5522393720212415E-13,4.110039100801579E-11,1.0187652106206422E-9,0.009434522542871401,1.1565683595497887E-8,4.713756377350149E-15,0.9905654648313195,2881,3818,"David Koma","CRYSTAL CHAIN STRAPS MINI DRESS ",,5,"black",,"52% acetate, 45% viscose, 3% elastane","68% acetate, 32% polyester",,,,"Zip","Bodycon dresses","Low v-neck","Plain","Rhinestones","Extra short","Spaghetti straps","Spaghetti straps","22.5 "" (Size 8)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 8","12.0 "" (Size 8)","No","No","yes","No","No","edgy"
"classic",0.11095149948357623,1.0720623770720986E-5,0.8888064629261551,1.8745958042970921E-4,3.974716526295245E-6,2.8280172847011157E-6,3.7054652257310786E-5,2882,3819,"Tommy Hilfiger","TENCEL KNEE DRESS ",159.99,4,"orange",,"100% lyocell",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Button","Button down dresses",,"Plain",,"Knee length","18.0 "" (Size 8)","Elbow length","38.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","sporty"
"classic",8.213724023444451E-4,0.41990827081286625,0.4207830216430141,3.564370637293861E-5,0.1580351478166519,2.2286192201008618E-11,4.1654359646423343E-4,2883,3820,"Swing","Day dress",124.99,4,"navy","Chiffon","100% polyester","97% polyester, 3% elastane",,,,"Zip",,"Round neckline","Floral","Bust darts, slip","Short","Short","Short","38.0 "" (Size 18)","Regular Fit","Regular fit",,"15.5 "" (Size 18)","No","No","No","No","No","casual chic"
"trendy",3.60287056666784E-6,7.240681305493277E-4,0.00278302115285281,0.00650989155357195,3.6756143024538974E-6,1.281427238259679E-6,0.9899744592509184,2884,3821,"Even&Odd","FLARED SLEEVES DRESS 2 Pack ",34.99,1,"black/white","Jersey","95% cotton, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Bodycon dresses","Low round neckline","Prints in general",,"Knee length","26.0 "" (Size S)","Long","34.5 "" (Size S)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","trendy"
"edgy",0.005592347676193027,0.3898792161132264,2.041405075378761E-4,0.6043113267070545,1.0029087034349618E-5,1.7293073467558177E-6,1.210601607240536E-6,2885,3822,"GAP","FLOUNCE HEM DRESS ",54.99,2,"brown",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Animal Prints in general",,"Short","26.0 "" (Size S)","Long","33.5 "" (Size S)","Regular Fit","Regular fit",,"16.0 "" (Size S)","No","No","No","No","No","edgy"
"casual chic",4.066403970932765E-5,0.7554896753005721,0.23264704185007754,7.509358168669238E-6,0.009143693934652546,6.634334012839403E-13,0.0026714155161563363,2886,3823,"Part Two","CLAIREL ",99.99,3,"blue",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,"Laces","Wrap dresses","Low v-neck","Animal Prints in general",,"Knee length","25.5 "" (Size 8)","Long","40.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)","Yes","No","No","No","No","trendy"
"trendy",1.676651660701662E-8,3.933123137767019E-10,1.8762003489544643E-10,0.002537419506488234,7.826655927841043E-6,3.026045542358861E-19,0.9974547364901349,2887,3824,"AllSaints","ABELLA SELENE DRESS ",199.99,4,"black",,"100% polyester","100% polyester","Do not tumble dry, Do not wash",,,"Zip",,"Spaghetti straps",,"Rhinestones","Extra short","Spaghetti straps","Spaghetti straps","32.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","yes","No","No","alternative"
"classic",3.860625669727491E-8,5.844930860308608E-8,0.9246503815710012,0.001356507113937405,0.066706337997175,2.142229239768995E-11,0.007286676240898722,2888,3825,"Ralph Lauren","PAISLEY JACQUARD DRESS ",199.99,4,"white",,"53% cotton, 41% viscose, 6% elastane","94% polyester, 6% elastane","Dry clean only",,,"Zip",,"Round neckline",,"Slip","Calf length","Sleeveless","Sleeveless","47.0 "" (Size 10)","Regular Fit","Regular fit",,"13.0 "" (Size 10)","No","No","No","No","No","girly"
"casual chic",3.845812392505032E-4,0.8287570145333525,0.09127363134818849,0.06041309462952609,0.01800432559285551,4.939139418735954E-7,0.0011668587428851453,2889,3826,"Yas","YASDAISY MIDI WRAP DRESS  VIP ",69.99,2,"black",,"100% nylon","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Laces","Wrap dresses","Low v-neck",,"Bust darts, slip","Calf length","22.5 "" (Size S)","Long","44.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)","No","No","No","No","No","classic"
"girly",5.0713572757337275E-15,9.763392130141204E-11,2.728127073800277E-8,2.7226043028703274E-12,0.9999999153892309,6.7982752548319E-20,5.7229136582012E-8,2890,3827,"Needle & Thread","FLORENTINA SHORT SLEEVE BODICE ANKLE GOWN ",249.99,5,"pastel pink","Tulle","100% polyester","100% polyester","Dry cleanable",,,"Zip",,"Low v-neck","Floral","Slip, border, embroidery","Maxi/long","Short","Short","58.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"classic",1.2589080463067733E-4,5.511139221242973E-5,0.9665350000617372,0.0022996347110317626,2.1679173936154762E-5,9.043985685472258E-12,0.030962683847407618,2891,3828,"b.young","BYFLOURI LONG SHIRT DRESS ",59.99,2,"purple",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C","Turn-down collar",,"Button","Button down dresses",,,"Belt included, inseam pockets","Maxi/long","8.5 "" (Size 8)","Long","47.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","6.5 "" (Size 8)","No","yes","No","No","No","girly"
"edgy",3.5456514839343415E-9,4.93224738439304E-5,0.0043442815620698995,0.9954871336972939,2.114550158239259E-6,8.05738712890614E-15,1.1714417097456445E-4,2892,3829,"Ralph Lauren","OCELOT",219.99,5,"brown","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Animal Prints in general","Bust darts, slip","Calf length","24.5 "" (Size 10)","Long","49.5 "" (Size 10)","Regular Fit","Regular fit",,"15.5 "" (Size 10)","No","No","No","No","No","edgy"
"trendy",8.092394964500593E-7,3.6843849800299646E-6,0.07035574874933116,7.67130434681604E-5,2.0669818628495583E-5,4.988380314638499E-8,0.9295423248802925,2893,3830,"Roksanda","AGATA DRESS ",,5,"red",,"100% cotton","73% acetate, 27% silk","Dry clean only","Bow/shawl collar",,"Laces",,"Round neckline","Plain","Bust darts, slip, border","Calf length","Long","Long","50.5 "" (Size 10)","Oversized","Loose fit","Our model is 5' 11""  tall and is wearing size 10","17.5 "" (Size 10)","No","No","No","No","Yes","unknown"
"edgy",8.348219615592138E-5,0.0017185853488254307,8.437437472927376E-5,0.9981070303752986,4.650678193791594E-8,7.912911635276895E-12,6.48119029620339E-6,2894,3831,"Yas","YASLEONORI ",59.99,2,"black/brown",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Turn-down collar",,"Button","Button down dresses",,"Prints in general","Slip","Short","23.0 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 5""  tall and is wearing size S","13.5 "" (Size S)","No","No","No","No","No","edgy"
"sporty",2.1642890979031667E-14,2.30147635693317E-14,3.772398118736924E-13,3.039451578887156E-10,4.724967303018733E-19,0.9999999996956261,6.78952090381903E-15,2895,3832,"Noisy May","NMHANNAH HOOD DRESS ",32.99,1,"brown","Sweat","65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur","Hood",,,"Hooded dresses",,"Plain",,"Knee length","24.0 "" (Size 10)","Long","38.0 "" (Size 10)","Loose Fit","Loose fit",,,"No","Yes","No","No","No","sporty"
"trendy",1.7948841963580836E-10,5.033691509787075E-9,1.0010261068649898E-4,9.581431093107152E-4,0.009062093965321125,1.370284183638553E-20,0.9898796551015017,2896,3833,"JCPAJARES","COUPE MINI DRESS ",415.0,5,"red",,"100% silk","100% acetate","Dry clean only",,,"Zip",,"Round neckline","Plain","Bust darts","Extra short","Short","Short","33.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)","No","No","No","No","No","trendy"
"girly",1.194700227295883E-14,3.01707762586121E-10,3.697345336508808E-5,3.520786124732376E-7,0.9997972265483867,2.2057134553503157E-18,1.654476179160518E-4,2897,3834,"Maya Deluxe","SQUARE NECK TIERED SKIRT EMBELLISHED DRESS ",184.99,4,"black","Tulle","100% polyester","100% polyester","Hand wash only",,,"Zip",,"Square neckline","Plain","Bust darts, slip, sequins","Maxi/long","Extra short","Short","58.5 "" (Size 8)","Slim Fit","Slim fit",,,"No","No","yes","No","No","girly"
"casual chic",1.7347703977849558E-4,0.8494364417889811,1.8855773083006965E-5,0.0021518750773143183,0.14012029994632352,9.324273095316589E-13,0.008099050373586927,2898,3835,"Glamorous","SNAP FRONT MINI DRESS ",37.99,1,"pastel green",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C",,,"Button",,"Low v-neck","Floral",,"Short","22.0 "" (Size 8)","Long","28.5 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 5""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","girly"
"classic",3.4619599500377847E-6,0.09817736056541612,0.7594889195334238,0.03473237863627566,0.008690693205937386,1.1653904300859106E-10,0.09890718598245808,2899,3836,"Ted Baker","GWIANA ",174.99,4,"black/white","Satin","97% polyester, 3% elastane",,"Hand wash only",,,"Zip",,"Round neckline","Floral",,"Calf length","Short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"classic",6.895129110343949E-5,0.17295732134879338,0.4720309726114262,0.18286788754124866,0.1314683486079368,8.623377212656264E-12,0.040606518590868154,2900,3837,"Ralph Lauren","Floral Crinkled Georgette Dress ",219.99,5,"pastel green","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck","Floral","Bust darts, slip, bow","Calf length","Short","Short","49.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)","No","No","No","No","No","unknown"
"edgy",8.496808457540041E-4,0.004526504912897665,1.3057285987967847E-4,0.9941280966119911,1.4192843500945618E-6,2.962509358237349E-4,6.747454930350656E-5,2901,3838,"Polo Ralph Lauren","COTTON TWILL SHIFT DRESS ",174.99,4,"army green",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Standing collar",,,,"Low v-neck","Plain",,"Knee length","19.5 "" (Size S)","Long","35.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)","No","No","No","No","No","edgy"
"classic",1.743118720366109E-11,2.5791203436583295E-9,0.700325864751425,0.007182435207470487,2.9190119101053444E-7,2.3077681387556384E-16,0.2924914055433618,2902,3839,"retrofÃªte","SCOTTIE DRESS ",345.0,5,"purple","Satin","95% silk, 5% elastane",,"Dry clean only","Turn-down collar",,"Button","Button down dresses",,"Plain","Covered fastener, belt included","Extra short","23.5 "" (Size S)","Long","31.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S",,"No","No","No","No","No","classic"
"casual chic",2.5426605187689185E-7,0.6376745635302906,0.009598583970515795,0.055429154336282586,0.013346164762698289,1.8134214654481846E-4,0.283769936987616,2903,3840,"Forever New","LUCILE MINI DRESS ",109.99,3,"black",,"75% viscose, 25% nylon","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Low v-neck","Polka dot","Slip","Short","25.0 "" (Size 10)","Long","32.5 "" (Size 10)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)","No","No","No","No","No","edgy"
"girly",1.3609349539999972E-13,1.48246908075734E-13,3.618929273097448E-6,1.6097859099389838E-8,0.9993181781278664,3.3961248044557408E-15,6.781868447138595E-4,2904,3841,"Mascara","Occasion wear",229.99,5,"white","Lace, tulle","100% polyester","100% polyester","Do not tumble dry, Do not wash",,,"Zip",,"Round neckline","Plain","Padded bust, slip, rhinestones","Maxi/long","Sleeveless","Sleeveless","61.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8",,"No","No","yes","No","Yes","sporty"
"casual chic",8.433814466301639E-4,0.9422739285537247,2.2954460775774984E-4,0.05617115139701897,4.097090729251536E-4,3.703228729545746E-9,7.228121871446996E-5,2905,3842,"Vero Moda","VMFIE MINI DRESS ",26.24,1,"black","Chiffon","100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,,"Wrap dresses","Low v-neck","Polka dot","Slip","Short","Long","Long",,"Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","edgy"
"trendy",0.13915482905583837,0.12033762571452773,4.256599876647521E-6,2.1680274323558837E-6,0.2924971364841409,9.612351816301635E-7,0.4480030228830025,2906,3843,"Mango","TEXTURLH ",49.99,2,"blue",,"100% polyamide",,"Machine wash at 30Â°C, dry cleaning",,,,,"Spaghetti straps","Plain",,"Calf length","Spaghetti straps","Spaghetti straps",,"Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"trendy",2.6735627432138967E-5,0.17088995017120626,1.8978492596553897E-4,5.409847699943585E-4,0.0014524966022969816,2.0606842285086062E-10,0.8269000476970363,2907,3844,"Pepe Jeans","LUCY ",79.99,2,"black",,"100% viscose","100% viscose","Do not tumble dry, Hand wash only","Standing collar",,"Laces",,"Low v-neck","Plain","Underskirt, elasticated waist","Extra short","23.5 "" (Size S)","Long","31.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)","No","No","No","No","No","trendy"
"trendy",6.202769237081631E-11,1.6302264273099487E-8,2.332994381843244E-4,1.0288908195548676E-4,4.014287798084425E-5,1.1257231992902657E-15,0.9996236522375862,2908,3845,"Victoria Beckham","CUT OUT DETAIL FLOORLENGTH ",,5,"multi-coloured",,"100% viscose",,"Dry clean only",,,"Zip","Bodycon dresses","Round neckline","Floral","Zip fastening","Maxi/long","26.5 "" (Size 4)","Long","61.0 "" (Size 4)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 4","14.0 "" (Size 4)","No","No","No","No","No","trendy"
"girly",9.55421116844984E-9,1.5798624174644125E-6,4.566256009907951E-6,1.975865009381294E-6,0.9994450334704815,1.3023463111822852E-12,5.468349905680644E-4,2909,3846,"Hollister Co.","DRESS SHIFFLEY ",38.99,1,"white",,"100% cotton","100% polyester","Machine wash at 30Â°C",,,,"Bodycon dresses","Square neckline","Plain","Slip","Short","Short","Short","32.5 "" (Size SxS)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size SxS",,"No","No","No","No","Yes","girly"
"trendy",1.5787746698182413E-7,1.837385262585623E-5,0.026209987113245434,8.361560247898719E-4,0.0972167046671865,6.464731994356178E-9,0.8757186139999534,2910,3847,"WAL G.","BERNICE SKATER DRESS ",37.99,1,"black","Jersey, tulle","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Round neckline","Plain",,,"Sleeveless","Sleeveless","36.0 "" (Size 10)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 10",,"No","No","No","No","Yes","unknown"
"girly",3.056819641020265E-5,0.0015242051005124272,0.06312543823894436,4.3662180208243534E-7,0.9081538915388085,6.513665029923653E-7,0.027164808937019353,2911,3848,"Mango","PLEAT H ",35.99,1,"white",,"100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,,"Pleated dresses","Square neckline","Plain",,"Short","Extra short","Short",,"Regular Fit","Regular fit",,,"No","No","No","No","No","girly"
"casual chic",0.25053522857157035,0.7456426811574385,0.002080949234568973,1.3112313617689856E-4,0.0015966600261800204,2.2660882019011177E-8,1.3335213183254002E-5,2912,3849,"Cotton On","PETITE WRAP ",28.99,1,"black","Chiffon","100% viscose",,"Machine wash at 40Â°C",,,"Laces","Wrap dresses","Low v-neck","Plain",,"Short","Short","Short","34.5 "" (Size S)","Regular Fit","Regular fit",,"14.0 "" (Size S)","No","No","No","No","No","casual chic"
