cv_predicted,IndexID,Style,Link,Brand,"Dress name ",Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?
edgy,706,casual chic,https://www.zalando.co.uk/anna-field-day-dress-green-an621c1l8-m11.html,Anna Field,Day dress,20.14,1,dark green,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,,V-neck,Plain,Slip,Extra short,"25.0 "" (Size 8)",Long,"37.5 "" (Size 8)",Loose Fit,Loose fit,,"17.5 "" (Size 8)",No,No,No,No,No
girly,707,trendy,https://www.zalando.co.uk/mango-cocktail-dress-party-dress-pastelgeel-m9121c5kt-e11.html,Mango,"BRIT ",49.99,2,pastel yellow,Satin,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,,,Cowl neckline,Plain,Rhinestones,Extra short,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,,,No,No,yes,No,No
sporty,708,sporty,https://www.zalando.co.uk/hugo-daserena-label-day-dress-pastel-pink-hu721c0hr-j11.html,HUGO,"DASERENA LABEL ",149.99,4,pastel pink,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",Hood,,,Hooded dresses,,Plain,Elasticated waist,Knee length,"24.5 "" (Size S)",Long,"37.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",,No,Yes,No,No,No
alternative,709,classic,https://www.zalando.co.uk/esprit-collection-jumper-dress-black-es421c1l3-q11.html,Esprit,Day dress,59.0,2,black,Knit,"70% viscose, 25% polyester, 5% elastane",,"Do not bleach, do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,V-neck,Plain,Belt included,Calf length,3/4 length,Elbow length,,Regular Fit,Regular fit,,,No,No,No,No,No
sporty,710,sporty,https://www.zalando.co.uk/gap-zip-dress-day-dress-moonless-night-gp021c0k8-q11.html,GAP,"ZIP DRESS ",30.79,1,black,Sweat,"60% cotton, 40% polyester",,"Machine wash at 30Â°C, Machine wash on gentle cycle",Zip neck,,,,,Plain,,Short,"24.0 "" (Size M)",Long,"34.0 "" (Size M)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size M",,No,No,No,No,No
classic,711,classic,https://www.zalando.co.uk/glamorous-loose-fit-midi-dress-with-puff-sleeves-day-dress-black-gl921c0ra-q11.html,Glamorous,"LOOSE FIT MIDI DRESS WITH PUFF SLEEVES ",49.99,2,black,,"53% viscose, 39% polyester, 8% polyamide",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Round neckline,Plain,,Knee length,Elbow length,Elbow length,"44.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)",Yes,No,No,No,No
casual chic,712,alternative,https://www.zalando.co.uk/vila-vizaline-day-dress-blackfloral-v1021c2y5-t11.html,Vila,"VIZALINE  ",18.99,1,black multi-coloured,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,V-neck,Floral,,Short,Elbow length,Elbow length,"35.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
trendy,713,trendy,https://www.zalando.co.uk/wal-g-zip-skater-dress-cocktail-dress-party-dress-red-wg021c0rn-g11.html,WAL G.,"ZIP SKATER DRESS ",37.99,1,red,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Low v-neck,Plain,Padded bust,Short,Sleeveless,Sleeveless,"32.5 "" (Size 10)",Slim Fit,Slim fit,,,No,No,No,No,No
trendy,714,trendy,https://www.zalando.co.uk/karl-lagerfeld-metallic-dress-cocktail-dress-party-dress-gold-k4821c054-f11.html,KARL LAGERFELD,"METALLIC DRESS ",349.99,5,gold,,100% polyester,100% polyester,,,,Button,Accentuating the waist,Low v-neck,Plain,"Belt included, slip",Maxi/long,Long,Long,,Loose Fit,Loose fit,,,No,No,No,No,No
trendy,715,trendy,https://www.zalando.co.uk/vivetta-vintage-70s-dress-day-dress-nero-viq21c01n-h11.html,Vivetta,"VINTAGE 70S DRESS ",525.0,5,black multi-coloured,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Peter pan collar,,Button,,,Floral,,Short,"22.0 "" (Size 8)",Long,"36.0 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No
classic,716,classic,https://www.zalando.co.uk/massimo-dutti-day-dress-dark-blue-m3i21c0j3-k11.html,Massimo Dutti,"MIT TROPFENAUSSCHNITT AM RÃœCKEN ",119.0,3,navy,,100% viscose,100% polyester,,,,Zip,,Round neckline,Plain,,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
classic,717,classic,https://www.zalando.co.uk/sand-copenhagen-ambar-day-dress-off-white-saa21c02p-a11.html,Sand Copenhagen,"AMBAR ",394.99,5,black/white,,"98% cotton, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Floral,,Short,Elbow length,Elbow length,"37.5 "" (Size 8)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No
trendy,718,trendy,https://www.zalando.co.uk/new-girl-order-flare-sleeve-dress-cocktail-dress-party-dress-pink-nem21c01s-j11.html,NEW girl ORDER,"FLARE SLEEVE DRESS ",54.99,2,pink,Satin,"95% polyester, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Low v-neck,Plain,"Bust darts, slip",Short,"25.5 "" (Size 8)",Long,"31.0 "" (Size 8)",Slim Fit,Slim fit,,,No,No,No,No,No
sporty,719,sporty,https://www.zalando.co.uk/tom-tailor-denim-dress-day-dress-sky-captain-blue-to721c0ep-k12.html,TOM TAILOR,"DRESS ",40.99,2,navy,PiquÃ©,"60% cotton, 40% polyester",,"Machine wash at 40Â°C, do not tumble dry",Polo shirt,,,Polo dresses,,Plain,,Short,Short,Short,"33.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
classic,720,classic,https://www.zalando.co.uk/depeche-dress-day-dress-mud-de321c00m-o11.html,DEPECHE,"DRESS ",299.99,5,brown,,100% leather,,"Do not tumble dry, Do not wash",,,,Accentuating the waist,V-neck,Plain,Belt included,Knee length,Short,Short,"44.5 "" (Size 10)",Regular Fit,Regular fit,,"15.5 "" (Size 10)",No,No,No,No,No
trendy,721,trendy,https://www.zalando.co.uk/marija-kulusic-lindres-cocktail-dress-party-dress-black-mfk21c000-q11.html,MARIJA KULUSIC,"LINDRES ",425.0,5,black,,100% viscose,,Dry clean only,,,Laces,,Round neckline,,,Calf length,Short,Short,"53.5 "" (Size M)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size M","15.0 "" (Size M)",No,No,No,No,No
alternative,722,alternative,https://www.zalando.co.uk/vero-moda-vmheli-short-dress-day-dress-marsala-ve121c2o8-g11.html,Vero Moda,"VMHELI 3/4  WVN GA COLOR ",31.49,1,burnt orange,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C",,,,,Low v-neck,Plain,,Short,"18.5 "" (Size S)",Elbow length,"35.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S","14.5 "" (Size S)",No,No,No,No,No
alternative,723,alternative,https://www.zalando.co.uk/missguided-tall-milkmaid-floral-dress-day-dress-brown-mig21c0eb-o11.html,Missguided,"MILKMAID FLORAL DRESS ",28.99,1,brown,,100% polyester,100% polyester,Machine wash at 30Â°C,,,,,Square neckline,Prints in general,,Extra short,"26.0 "" (Size 8)",Long,"34.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size 8","14.0 "" (Size 8)",No,No,No,No,No
trendy,724,trendy,https://www.zalando.co.uk/samsoee-samsoee-cille-dress-cocktail-dress-party-dress-honeysuckle-sa321c0d6-j11.html,Numph,"CILLE DRESS ",149.99,4,pink,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,,,Spaghetti straps,Plain,Inseam pockets,Calf length,Spaghetti straps,Spaghetti straps,"49.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)",No,yes,No,No,Yes
girly,725,girly,https://www.zalando.co.uk/superdry-gia-cami-dress-day-dress-su221c0il-k11.html,Superdry,"GIA CAMI DRESS ",38.49,1,pastel blue,,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,Spaghetti straps,Striped,,Short,Spaghetti straps,Spaghetti straps,"38.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",No,No,No,No,Yes
sporty,726,sporty,https://www.zalando.co.uk/lacoste-day-dress-pinot-la221c063-g11.html,Lacoste,Day dress,134.99,4,burgundy,PiquÃ©,"67% lyocell, 33% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Turn-down collar,,,Button down dresses,Low v-neck,Plain,"Belt included, inseam pockets",Calf length,Short,Short,"43.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,yes,No,No,No
girly,727,girly,https://www.zalando.co.uk/vila-petite-vietina-v-neck-dress-day-dress-birch-vip21c041-a11.html,Vila,"VIETINA V NECK DRESS ",34.99,1,white,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",,,,Wrap dresses,Low v-neck,Plain,Bust darts,Short,3/4 length,Elbow length,,Loose Fit,Loose fit,,,No,No,No,No,No
classic,728,classic,https://www.zalando.co.uk/see-by-chloe-day-dress-honey-nude-se321c066-j11.html,See by Chloe,Day dress,245.0,5,sand,,100% polyester,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,Inseam pockets,Short,Elbow length,Elbow length,"35.0 "" (Size 10)",Oversized,Loose fit,"Our model is 5' 9""  tall and is wearing size 10","16.5 "" (Size 10)",No,yes,No,No,No
alternative,729,alternative,https://www.zalando.co.uk/superdry-day-dress-black-su221c0nu-q11.html,Superdry,Day dress,45.49,2,black,,100% viscose,,"Do not tumble dry, Do not bleach",,,Drawstring fastening,,Spaghetti straps,Prints in general,"Adjustable straps, tassels",Calf length,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,,,No,Yes,No,No,Yes
sporty,730,sporty,https://www.zalando.co.uk/puma-downtown-v-neck-dress-day-dress-arctic-ice-pu121c028-k11.html,Puma,"DOWNTOWN V NECK DRESS ",64.99,2,pastel blue,Sweat,100% cotton,,,,,,,Low v-neck,,Elasticated waist,Short,"18.5 "" (Size S)",Elbow length,"35.5 "" (Size S)",Oversized,Loose fit,,,No,No,No,No,No
classic,731,classic,https://www.zalando.co.uk/wal-g-arya-halter-neck-dress-cocktail-dress-party-dress-black-wg021c0l3-q11.html,WAL G.,"SAGAR CHIFFON SLEEVE MIDI DRESS ",35.99,1,black,Chiffon,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,Asymmetrical,Zip,Bodycon dresses,Low v-neck,Plain,Bust darts,Calf length,"Sleeveless, short",Sleeveless,"39.5 "" (Size 10)",Bodycon,Slim fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No
trendy,732,trendy,https://www.zalando.co.uk/cult-gaia-kisha-dress-cocktail-dress-party-dress-ink-cui21c00s-k11.html,Cult Gaia,"KISHA DRESS ",440.0,5,blue,Jersey,"50% acetate, 45% viscose, 5% elastane",,Dry cleaning,,,Laces,,Spaghetti straps,Plain,Adjustable straps,Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,Yes
classic,733,classic,https://www.zalando.co.uk/massimo-dutti-mit-volants-day-dress-beige-m3i21c0i7-b11.html,Massimo Dutti,"MIT VOLANTS  ",119.0,3,off-white,,"82% viscose, 11% wool, 6% polyester, 1% elastane",,,,,,,Low v-neck,Plain,Crochet Detailing,Calf length,Long,Long,"51.5 "" (Size M)",Regular Fit,Regular fit,,,No,No,No,No,No
classic,734,classic,https://www.zalando.co.uk/vero-moda-vmdino-calf-dress-day-dress-navy-ve121c37h-k11.html,Vero Moda,"VMDINO CALF DRESS ",43.99,2,navy,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,Button,,,Plain,Slip,Calf length,"18.5 "" (Size S)",Elbow length,"43.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",No,No,No,No,No
girly,735,alternative,https://www.zalando.co.uk/jdy-jdydodo-beltdress-day-dress-dusk-blue-jy121c0qn-k11.html,JDY,"JDYDODO BELTDRESS ",18.99,1,pastel blue,Jersey,"96% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Low round neckline,,"Belt included, border",Short,Short,Short,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
trendy,736,trendy,https://www.zalando.co.uk/capsule-by-simply-be-poppy-day-dress-redblack-cas21c03i-g11.html,CAPSULE by Simply Be,"POPPY ",30.59,1,black/red,,100% viscose,,"Machine wash at 40Â°C, do not tumble dry",Standing collar,,,,V-neck,Floral,,Calf length,"23.5 "" (Size 16)",Long,"53.0 "" (Size 16)",Regular Fit,Regular fit,,"17.5 "" (Size 16)",No,No,No,No,No
trendy,737,girly,https://www.zalando.co.uk/vila-viclarette-v-neck-ankle-dress-day-dress-cloud-dancerpink-v1021c2yk-a11.html,Vila,"VICLARETTE V NECK ANKLE DRESS ",59.99,2,white/pink,Chiffon,100% polyester,,Machine wash at 30Â°C,,,,Wrap dresses,Low v-neck,Floral,"Elasticated waist, belt included, slip",Maxi/long,"18.5 "" (Size 8)",Elbow length,"55.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,Yes,No,No,No,No
casual chic,738,casual chic,https://www.zalando.co.uk/mamalicious-mlcorina-dress-day-dress-black-m6429f0xi-q11.html,MAMALICIOUS,"MLCORINA DRESS ",43.99,2,black,Satin,100% polyester,,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,,V-neck,Floral,Bust darts,Knee length,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
classic,739,classic,https://www.zalando.co.uk/esprit-dresses-day-dress-navy-es121c220-k11.html,Esprit,"DRESSES ",50.99,2,navy,,"60% viscose, 40% polyamide",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,,,Accentuating the waist,Low v-neck,Plain,"Belt included, inseam pockets",Knee length,Short,Short,"38.5 "" (Size 8)",Loose Fit,Loose fit,,"14.0 "" (Size 8)",No,yes,No,No,No
sporty,740,sporty,https://www.zalando.co.uk/g-star-ilou-zip-hdd-sw-dress-wmn-ls-day-dress-gs121c06l-q11.html,G-Star,"ILOU ZIP HDD SW DRESS WMN L/S ",74.99,2,black,Sweat,100% cotton,,"Machine wash at 40Â°C, do not tumble dry",Hood,,,Hooded dresses,,,"Zip fastening, elasticated waist",Short,"25.5 "" (Size S)",Long,"33.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
sporty,741,sporty,https://www.zalando.co.uk/in-the-style-stacey-solomon-day-dress-brown-i0421c01n-o11.html,IN THE STYLE,"STACEY SOLOMON  ",42.99,2,brown,Sweat,100% cotton,,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,Accentuating the waist,Round neckline,Plain,Belt included,Extra short,"21.5 "" (Size 8)",Long,"31.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No
sporty,742,sporty,https://www.zalando.co.uk/superdry-day-dress-glacier-grey-marl-su221c0op-c11.html,Superdry,Day dress,54.99,2,grey,"Rib, Sweat","59% cotton, 41% polyester",,"Do not bleach, do not tumble dry",,,,,Round neckline,Prints in general,"Border, elasticated waist, embroidery",Short,Long,Long,,Regular Fit,Regular fit,,,No,No,No,No,No
classic,743,classic,https://www.zalando.co.uk/moss-copenhagen-lillis-morocco-dress-day-dress-black-m0y21c088-q11.html,Moss Copenhagen,"LILLIS MOROCCO DRESS ",89.99,3,black,Chiffon,100% viscose,,"Do not tumble dry, machine wash at 30Â°C",,,,Accentuating the waist,Low v-neck,Floral,Belt included,Calf length,"25.5 "" (Size S)",Long,"50.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","17.5 "" (Size S)",No,No,No,No,No
trendy,744,trendy,https://www.zalando.co.uk/diane-von-furstenberg-silvie-dress-cocktail-dress-party-dress-arrow-head-medium-cabernet-df221c0aq-g11.html,Diane von Furstenberg,"SILVIE DRESS ",420.0,5,burgundy,Mesh,100% nylon,100% nylon,Dry clean only,,,Belt,Wrap dresses,Low v-neck,,"Belt included, slip",Knee length,"25.0 "" (Size S)",Long,"46.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size S",,Yes,No,No,No,No
casual chic,745,casual chic,https://www.zalando.co.uk/mamalicious-mlday-midi-dress-day-dress-black-m6429f0vh-q12.html,MAMALICIOUS,"MLDAY MIDI DRESS ",39.99,1,multi-coloured,,100% polyester,,"Machine wash at 30Â°C, Machine wash on gentle cycle",,,,Wrap dresses,Low v-neck,Floral,"Belt included, bust darts",Calf length,"24.0 "" (Size S)",Long,"46.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 11""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
sporty,746,sporty,https://www.zalando.co.uk/calvin-klein-modern-hybrid-day-dress-moccasin-6ca21c053-b11.html,Calvin Klein,"MODERN HYBRID  ",90.99,3,sand,Sweat,"64% cotton, 36% polyester",,Machine wash at 30Â°C,Standing collar,,Zip,,,Plain,Inseam pockets,Extra short,"24.0 "" (Size S)",Long,"34.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,yes,No,No,No
girly,747,girly,https://www.zalando.co.uk/lace-and-beads-tall-occasion-wear-grey-lad21c01x-k11.html,Lace & Beads,"RUHI MIDI ",74.99,2,silver,"Jersey, tulle",100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,Zip,,Low v-neck,Plain,"Adjustable straps, sequins",Calf length,Spaghetti straps,Spaghetti straps,"44.0 "" (Size 8)",Regular Fit,Regular fit,,,No,No,yes,No,No
edgy,748,casual chic,https://www.zalando.co.uk/edc-by-esprit-crepe-day-dress-black-ed121c0xf-q11.html,Esprit,"CREPE ",43.99,2,black,,"95% viscose, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Laces,,V-neck,Plain,,Short,"25.0 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","13.5 "" (Size S)",Yes,No,No,No,No
classic,749,classic,https://www.zalando.co.uk/capsule-by-simply-be-spot-pleated-dress-with-collar-day-dress-blackwhite-cas21c03l-q11.html,CAPSULE by Simply Be,"SPOT PLEATED DRESS WITH COLLAR ",38.99,1,black/white,,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Volant/frill collar,,Button,Pleated dresses,,Animal Prints in general,"Bust darts, slip, bow",Calf length,"20.5 "" (Size 16)",Long,"43.5 "" (Size 16)",Loose Fit,Loose fit,,"15.0 "" (Size 16)",No,No,No,No,No
casual chic,750,casual chic,https://www.zalando.co.uk/andiata-edla-dress-day-dress-cashew-beige-a4l21c000-b11.html,ANDIATA,"EDLA DRESS ",289.99,5,sand,Rib,"90% wool, 10% cashmere",,"Do not tumble dry, Hand wash only",,,,Accentuating the waist,Round neckline,Plain,Belt included,Calf length,"25.0 "" (Size S)",Long,"47.0 "" (Size S)",Slim Fit,Slim fit,,,No,No,No,No,No
alternative,751,sporty,https://www.zalando.co.uk/jdy-jdymathilde-dress-day-dress-black-jy121c0hd-q11.html,JDY,"JDYMATHILDE DRESS ",23.99,1,black,Sweat,"65% polyester, 35% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,,Short,"25.0 "" (Size S)",Long,"32.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
classic,752,classic,https://www.zalando.co.uk/diane-von-furstenberg-nella-day-dress-blue-df221c0bi-k11.html,Diane von Furstenberg,"NELLA ",420.0,5,navy,,100% polyester,,Dry clean only,Standing collar,,Zip,,,Prints in general,Bust darts,Calf length,Elbow length,Elbow length,"46.0 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8","15.0 "" (Size 8)",No,No,No,No,No
alternative,753,alternative,https://www.zalando.co.uk/superdry-day-dress-ochre-su221c0nu-b11.html,Superdry,Day dress,48.99,2,orange,,100% viscose,,"Do not tumble dry, Do not bleach",,,Drawstring fastening,,Spaghetti straps,Prints in general,"Adjustable straps, tassels",Calf length,Spaghetti straps,Spaghetti straps,,Slim Fit,Slim fit,,,No,Yes,No,No,Yes
casual chic,754,alternative,https://www.zalando.co.uk/only-carmakoma-carlollilise-day-dress-sky-captain-ona21e0fp-q11.html,Only,"CARLOLLILISE ",28.04,1,black multi-coloured,,100% viscose,,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",Standing collar,,,,Low v-neck,Floral,Bust darts,Short,"20.5 "" (Size 16)",Long,"38.0 "" (Size 16)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 16","15.5 "" (Size 16)",No,No,No,No,No
girly,755,girly,https://www.zalando.co.uk/vila-vimilia-pearl-ankle-dress-occasion-wear-cloud-dancer-white-v1021c2y9-a11.html,Vila,"VIMILIA PEARL ANKLE DRESS ",89.99,3,white,Tulle,100% nylon,100% polyester,Hand wash only,,,Button,,Spaghetti straps,Plain,"Adjustable straps, slip, rhinestones",Maxi/long,Spaghetti straps,Spaghetti straps,"59.0 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10",,No,No,yes,No,Yes
girly,756,girly,https://www.zalando.co.uk/monki-thora-dress-day-dress-retropastel-moq21c0bu-t11.html,Monki,Day dress,31.0,1,pastel yellow,,100% polyester,,,,,Button,,Round neckline,Floral,,Calf length,Long,Long,"42.5 "" (Size S)",Regular Fit,Regular fit,,"15.5 "" (Size S)",No,No,No,No,No
girly,757,girly,https://www.zalando.co.uk/summery-copenhagen-thea-long-dress-day-dress-shell-pink-cec21c040-h11.html,SUMMERY Copenhagen,"THEA DRESS ",209.99,5,pink,,"60% cotton, 40% viscose",,Machine wash at 30Â°C,,,,,Square neckline,,,Calf length,Short,Short,"47.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
sporty,758,sporty,https://www.zalando.co.uk/moss-copenhagen-ima-dress-day-dress-wistfull-mauve-m0y21c08d-q11.html,Moss Copenhagen,"IMA DRESS ",48.74,2,purple,Jersey,"72% viscose, 23% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,Round neckline,Plain,,Short,"25.0 "" (Size S/M)",Long,"35.0 "" (Size S/M)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S/M",,No,No,No,No,No
casual chic,759,casual chic,https://www.zalando.co.uk/soliver-day-dress-black-so221c13e-q11.html,s.Oliver,Day dress,69.99,2,black,Mesh,"98% polyester, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,Button,,Round neckline,Prints in general,Slip,Calf length,"25.0 "" (Size 10)",Long,"48.5 "" (Size 10)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size 10",,No,No,No,No,No
casual chic,760,casual chic,https://www.zalando.co.uk/vero-moda-vmcaitlynn-day-dress-black-graphic-ve121c2jm-q13.html,Vero Moda,"VMCAITLYNN DRESS BELT ",39.99,1,black,Chiffon,100% polyester,,"Do not tumble dry, machine wash at 30Â°C",Standing collar,,Button,Accentuating the waist,,,Belt included,Knee length,"25.5 "" (Size S)",Long,"41.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,No
classic,761,sporty,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-cashmere-blue-jy121c0px-k11.html,JDY,"JDYIVY MATHILDE DRESS ",16.14,1,pastel blue,Sweat,"62% cotton, 38% polyester",,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",,,,,Round neckline,Plain,,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",,No,No,No,No,No
trendy,762,trendy,https://www.zalando.co.uk/roksanda-emina-dress-day-dress-blackoatmealcoral-r9821c01u-b11.html,Roksanda,"EMINA DRESS ",,5,black multi-coloured,,100% wool,,Dry clean only,,,Zip,,V-neck,,"Inseam pockets, bust darts",Calf length,Sleeveless,Sleeveless,,Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 10","14.5 "" (Size 10)",No,yes,No,No,No
trendy,763,trendy,https://www.zalando.co.uk/abercrombie-and-fitch-day-dress-black-a0f21c09q-q11.html,Abercrombie & Fitch,Day dress,89.99,3,black multi-coloured,,100% polyester,100% polyester,Machine wash at 30Â°C,,,,,Spaghetti straps,Floral,"Bust darts, adjustable straps",Calf length,Spaghetti straps,Spaghetti straps,"53.0 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",No,No,No,No,Yes
girly,764,girly,https://www.zalando.co.uk/adrianna-papell-beaded-trapeze-dress-cocktail-dress-party-dress-candied-ginger-ad421c0eu-j11.html,Adrianna Papell,"BEADED TRAPEZE DRESS ",244.99,5,dusty pink,Tulle,100% polyester,100% polyester,"Do not tumble dry, Do not wash",,,Hook fasteningÂ ,,Round neckline,,"Bust darts, slip, sequins, rhinestones",Short,Sleeveless,Sleeveless,"33.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,yes,No,No
classic,765,classic,https://www.zalando.co.uk/vila-vimilina-long-dress-occasion-wear-total-eclipse-v1021c29l-k11.html,Vila,"VIMILINA LONG DRESS ",46.74,2,navy,Chiffon,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",,,Zip,,Low v-neck,Plain,"Slip, bow",Maxi/long,Sleeveless,Sleeveless,"56.5 "" (Size 8)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size 8",,No,No,No,No,No
trendy,766,trendy,https://www.zalando.co.uk/only-olmjenny-wrap-dress-day-dress-black-on329f00k-q11.html,Only,"OLMJENNY WRAP DRESS ",35.99,1,black,"Mesh, Jersey","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",,,,Wrap dresses,Low v-neck,Polka dot,,Short,"26.5 "" (Size S)",Long,"35.5 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",,No,No,No,No,No
