,Article number,Back material,Back width,Bottom part material,Care instructions,Collar,Contains non-textile parts of animal origin,Cut,Details,Fabric,Fastening,Filling,Fit,Front material,Insert material,Jacket length,Length,Licensed characters,Lining,Middle part material,Neckline,Our model's height,Outer fabric material,Outer leg length,Pattern,Pockets,Sheer,Sleeve length,Sleeve length.1,Sleeves material,Sport,Top part material,Total length,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,category,color,day dress,description,heading1,link,price
6945,M1221C04B-Q11,--,"13.5 "" (Size 8)",--,Dry clean only,Standing collar,--,--,Slip,Lace,Zip,--,Regular Fit,,--,--,Short,,"97% polyester, 3% elastane",--,--,--,100% polyester,--,Polka dot,--,--,Short,--,--,,--,"34.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,YASMIN DRESS ,Milly,https://www.zalando.co.uk/milly-yasmin-dress-cocktail-dress-party-dress-black-m1221c04b-q11.html,Â£359.99
6946,NT521C0FX-A11,--,--,--,Dry cleanable,Standing collar,--,--,"Slip, embroidery",Tulle,Zip,--,Regular Fit,,--,--,Short,,100% polyester,--,--,"Our model is 5' 9""  tall and is wearing size 8",100% polyester,--,Floral,--,--,Short,--,--,,--,"35.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,video overlay, Cocktail dress / Party dress,ROSIE MINI DRESS ,Needle & Thread,https://www.zalando.co.uk/needle-and-thread-rosie-mini-dress-cocktail-dress-party-dress-champagne-nt521c0fx-a11.html,Â£394.99
6947,BR321C09Q-K11,--,"13.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Slip,Lace,Zip,--,Regular Fit,,--,--,Short,,100% polyester,--,--,"Our model is 5' 10""  tall and is wearing size 8",100% viscose,--,Plain,--,--,"25.5 "" (Size 8)",--,--,,--,"36.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,bright blue, Cocktail dress / Party dress,EVANTHE MILITY DRESS ,Bruuns Bazaar,https://www.zalando.co.uk/bruuns-bazaar-evanthe-mility-dress-cocktail-dress-party-dress-bright-blue-br321c09q-k11.html,Â£249.99
6948,BR321C09Q-K11,--,"13.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Slip,Lace,Zip,--,Regular Fit,,--,--,Short,,100% polyester,--,--,"Our model is 5' 10""  tall and is wearing size 8",100% viscose,--,Plain,--,--,"25.5 "" (Size 8)",--,--,,--,"36.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,snow white, Cocktail dress / Party dress,EVANTHE MILITY DRESS ,Bruuns Bazaar,https://www.zalando.co.uk/bruuns-bazaar-evanthe-mility-dress-cocktail-dress-party-dress-bright-blue-br321c09q-k11.html,Â£249.99
6949,FAA21C0FB-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Zip fastening, decorative buttons",Jersey,--,--,Slim Fit,,--,--,Short,,--,--,Square neck,"Our model is 5' 10""  tall and is wearing size 8","95% polyester, 5% elastane",--,Plain,--,--,"23.0 "" (Size 8)",--,--,,--,"34.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,BELLFLOWER ,Fashion Union,https://www.zalando.co.uk/fashion-union-bellflower-cocktail-dress-party-dress-black-faa21c0fb-q11.html,Â£34.99
6950,D0T21C00I-Q11,--,--,--,Dry clean only,--,--,--,--,Jersey,Zip,--,Slim Fit,,--,--,Calf-length,,--,--,Scoop neck,"Our model is 5' 10""  tall and is wearing size 8","95% polyester, 5% elastane",--,Plain,--,--,Sleeveless,--,--,,--,"52.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,BUCKLE PENCIL DRESS ,David Koma,https://www.zalando.co.uk/david-koma-buckle-pencil-dress-cocktail-dress-party-dress-black-d0t21c00i-q11.html,Â£650.00
6951,D0T21C00I-Q11,--,--,--,Dry clean only,--,--,--,--,Jersey,Zip,--,Slim Fit,,--,--,Calf-length,,--,--,Scoop neck,"Our model is 5' 10""  tall and is wearing size 8","95% polyester, 5% elastane",--,Plain,--,--,Sleeveless,--,--,,--,"52.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,BUCKLE PENCIL DRESS ,David Koma,https://www.zalando.co.uk/david-koma-buckle-pencil-dress-cocktail-dress-party-dress-black-d0t21c00i-q11.html,Â£650.00
6952,L4221C1BC-Q11,--,--,"95% polyester, 5% elastane","Hand wash only, do not tumble dry",--,--,--,--,Jersey,Zip,--,Regular Fit,,--,--,Short,,100% polyester,--,Cache-coeur,--,"95% polyester, 5% elastane",--,--,--,--,"23.0 "" (Size 10)",--,--,,--,"38.0 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black/beige/new gold, Cocktail dress / Party dress,METALLIC JERSEY DRESS ,Lauren Ralph Lauren,https://www.zalando.co.uk/lauren-ralph-lauren-evelynda-long-sleeve-dress-cocktail-dress-party-dress-blackbeigenew-gold-l4221c1bc-q11.html,Â£199.99
6953,GID21C08L-Q11,--,"17.5 "" (Size 36)",--,"Machine wash at 40Â°C, do not tumble dry",--,--,--,Adjustable straps,Satin,--,--,Regular Fit,,--,--,Long,,--,--,Backless,"Our model is 5' 9""  tall and is wearing size 36","60% viscose, 40% polyamide",--,--,--,--,Spaghetti straps,--,--,,--,"55.0 "" (Size 36)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,MISTY DRESS ,Gina Tricot,https://www.zalando.co.uk/gina-tricot-misty-dress-cocktail-dress-party-dress-black-gid21c08l-q11.html,Â£54.99
6954,M1X21C029-J11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Adjustable straps,Satin,--,--,Loose Fit,,--,--,Calf-length,,--,--,Cowl neck,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,,--,"49.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,rosa, Cocktail dress / Party dress,GAETANA ,Max Mara Leisure,https://www.zalando.co.uk/max-mara-leisure-gaetana-cocktail-dress-party-dress-rosa-m1x21c029-j11.html,Â£159.99
6955,M1X21C029-J11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Adjustable straps,Satin,--,--,Loose Fit,,--,--,Calf-length,,--,--,Cowl neck,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,,--,"49.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,acqua, Cocktail dress / Party dress,GAETANA ,Max Mara Leisure,https://www.zalando.co.uk/max-mara-leisure-gaetana-cocktail-dress-party-dress-rosa-m1x21c029-j11.html,Â£159.99
6956,M1X21C029-J11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Adjustable straps,Satin,--,--,Loose Fit,,--,--,Calf-length,,--,--,Cowl neck,--,100% polyester,--,Plain,--,--,Spaghetti straps,--,--,,--,"49.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,grigio medio, Cocktail dress / Party dress,GAETANA ,Max Mara Leisure,https://www.zalando.co.uk/max-mara-leisure-gaetana-cocktail-dress-party-dress-rosa-m1x21c029-j11.html,Â£159.99
6957,CL921C0TH-I11,--,"13.0 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Zip,--,Regular Fit,,--,--,Short,,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size 10",100% polyester,--,Plain,--,--,Short,--,--,,--,"34.0 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,lilac, Cocktail dress / Party dress,CLOSET LONDON MINI PLEATED ,Closet,https://www.zalando.co.uk/closet-closet-london-mini-pleated-cocktail-dress-party-dress-lilac-cl921c0th-i11.html,Â£94.99
6958,Y0121C1RG-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Bust darts, slip",--,Button,--,Loose Fit,,--,--,Short,,100% polyester,--,Low-cut v-neck,"Our model is 5' 9""  tall and is wearing size S",100% polyester,--,Plain,--,--,Sleeveless,--,--,,--,"34.5 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,YASALMA SPENCER DRESS ,YAS,https://www.zalando.co.uk/yas-yasalma-spencer-dress-cocktail-dress-party-dress-black-y0121c1rg-q11.html,Â£69.99
6959,DA321C06Y-E11,--,"10.0 "" (Size 8)",--,Hand wash only,Standing collar,--,--,Rhinestones,Chiffon,Button,--,Loose Fit,,--,--,Short,,--,--,--,--,"95% polyester, 5% elastane",--,--,--,Semi-sheer,"21.5 "" (Size 8)",--,--,,--,"34.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,lime bean, Cocktail dress / Party dress,DAY ,DAY Birger et Mikkelsen,https://www.zalando.co.uk/day-birger-et-mikkelsen-day-cocktail-dress-party-dress-lime-bean-da321c06y-e11.html,Â£329.99
6960,NEN21C04Y-T11,--,"13.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Chiffon,Zip,--,Regular Fit,,--,--,Extra short,,--,--,Low-cut v-neck,"Our model is 5' 11""  tall and is wearing size 8",100% polyester,--,Floral,--,--,"26.0 "" (Size 8)",--,--,,--,"33.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,multi, Cocktail dress / Party dress,STUDIO MONIQUE DRESS ,Never Fully Dressed,https://www.zalando.co.uk/never-fully-dressed-studio-monique-dress-cocktail-dress-party-dress-multi-nen21c04y-t11.html,Â£94.99
6961,AD421C0F5-A11,--,"14.0 "" (Size 8)",--,Do not wash,--,--,--,"Slip, sequins, rhinestones",Tulle,--,--,Regular Fit,,--,--,Calf-length,,100% polyester,--,Square neck,--,100% polyester,--,--,--,--,Sleeveless,--,--,,--,"40.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,ivory, Cocktail dress / Party dress,BEADED SHIRRED DRESS ,Adrianna Papell,https://www.zalando.co.uk/adrianna-papell-beaded-shirred-dress-cocktail-dress-party-dress-ivory-ad421c0f5-a11.html,Â£289.99
6962,BR321C09J-K11,--,"14.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Shawl collar,--,--,Bow,Satin,Laces,--,Loose Fit,,--,--,Knee-length,,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size 8",100% viscose,--,Plain,--,--,Elbow length,--,--,,--,"35.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,bright blue, Cocktail dress / Party dress,BAUMA PHINE DRESS ,Bruuns Bazaar,https://www.zalando.co.uk/bruuns-bazaar-bauma-phine-dress-cocktail-dress-party-dress-bright-blue-br321c09j-k11.html,Â£99.99
6963,BR321C09J-K11,--,"14.0 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",Shawl collar,--,--,Bow,Satin,Laces,--,Loose Fit,,--,--,Knee-length,,--,--,Low-cut v-neck,"Our model is 5' 10""  tall and is wearing size 8",100% viscose,--,Plain,--,--,Elbow length,--,--,,--,"35.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,BAUMA PHINE DRESS ,Bruuns Bazaar,https://www.zalando.co.uk/bruuns-bazaar-bauma-phine-dress-cocktail-dress-party-dress-bright-blue-br321c09j-k11.html,Â£99.99
6964,SG721C0JY-M11,--,"15.0 "" (Size 10)",100% polyester,"Do not tumble dry, machine wash at 30Â°C",--,--,--,"Inseam pockets, bust darts",Jersey,Zip,--,Slim Fit,,--,--,Knee-length,,"92% polyester, 8% elastane",--,Backless,--,"95% polyester, 5% elastane",--,Striped,--,--,"17.5 "" (Size 10)",--,--,,--,"34.5 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,smarag/gold,,Jersey dress,Swing,https://www.zalando.co.uk/swing-cocktail-dress-party-dress-smaraggold-sg721c0jy-m11.html,Â£114.99
6965,L4221C1BD-Q11,--,--,--,Hand wash only,--,--,--,Slip,Jersey,--,--,Slim Fit,,--,--,Short,,"90% polyester, 10% elastane",--,Crew neck,"Our model is 5' 10""  tall and is wearing size 8/10","97% cotton, 3% elastane",--,Plain,--,--,"21.5 "" (Size 8/10)",--,--,,--,"33.5 "" (Size 8/10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black,PRINT JERSEY SHIFT DRESS ,FOIL,Lauren Ralph Lauren,https://www.zalando.co.uk/lauren-ralph-lauren-foil-print-jersey-shift-dress-cocktail-dress-party-dress-black-l4221c1bd-q11.html,Â£159.99
6966,M1221C052-G11,--,--,--,--,--,--,--,"Bust darts, adjustable straps, slip, bow",Chiffon,Zip,--,Regular Fit,,--,--,Calf-length,,"97% polyester, 3% elastane",--,Low-cut v-neck,--,100% polyester,--,Floral,--,--,Spaghetti straps,--,--,,--,"49.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,coral multi, Cocktail dress / Party dress,WILDA FLOATING BOTANICA DRESS ,Milly,https://www.zalando.co.uk/milly-wilda-floating-botanica-dress-cocktail-dress-party-dress-coral-multi-m1221c052-g11.html,Â£404.99
6967,CUI21C00I-A11,--,"15.0 "" (Size S)",--,--,--,--,--,Bow,--,Zip,--,Regular Fit,,--,--,Calf-length,,--,--,Cache-coeur,--,"83% viscose, 14% polyester, 3% elastane",--,Marl,--,--,Elbow length,--,--,,--,"52.5 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,ecru, Cocktail dress / Party dress,AGNES  ,Cult Gaia,https://www.zalando.co.uk/cult-gaia-agnes-cocktail-dress-party-dress-ecru-cui21c00i-a11.html,Â£410.00
6968,CL921C0TU-M11,--,"15.5 "" (Size 10)",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,--,Zip,--,Regular Fit,,--,--,Short,,--,--,Cache-coeur,"Our model is 5' 10""  tall and is wearing size 10",100% polyester,--,Floral,--,--,Short,--,--,,--,"34.5 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,lime, Cocktail dress / Party dress,CLOSET LONDON FRILL DRESS ,Closet,https://www.zalando.co.uk/closet-closet-london-frill-dress-cocktail-dress-party-dress-lime-cl921c0tu-m11.html,Â£99.99
6969,ONA21C0H6-Q11,--,"15.5 "" (Size 14)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Belt included, slip",--,--,--,Regular Fit,,--,--,Knee-length,,100% polyester,--,V-neck,--,100% polyester,--,Plain,--,--,"25.0 "" (Size 14)",--,--,,--,"41.0 "" (Size 14)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,CARMETTE V NECK DRESS ,ONLY Carmakoma,https://www.zalando.co.uk/only-carmakoma-carmette-v-neck-dress-cocktail-dress-party-dress-black-ona21c0h6-q11.html,Â£37.99
6970,M6429F0OW-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not iron, Do not bleach",Standing collar,--,--,--,--,--,--,--,,--,--,--,,--,--,--,--,"84% polyester, 11% cotton, 4% nylon, 1% elastane",--,Plain,--,--,--,--,--,,--,--,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,rhubarb, Cocktail dress / Party dress,MLMIVANA DRESS ,MAMALICIOUS,https://www.zalando.co.uk/mamalicious-cocktail-dress-party-dress-rhubarb-m6429f0ow-g11.html,Â£48.99
6971,M6429F0OW-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not iron, Do not bleach",Standing collar,--,--,--,--,--,--,--,,--,--,--,,--,--,--,--,"84% polyester, 11% cotton, 4% nylon, 1% elastane",--,Plain,--,--,--,--,--,,--,--,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,misty rose, Cocktail dress / Party dress,MLMIVANA DRESS ,MAMALICIOUS,https://www.zalando.co.uk/mamalicious-cocktail-dress-party-dress-rhubarb-m6429f0ow-g11.html,Â£48.99
6972,M6429F0OW-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not iron, Do not bleach",Standing collar,--,--,--,--,--,--,--,,--,--,--,,--,--,--,--,"84% polyester, 11% cotton, 4% nylon, 1% elastane",--,Plain,--,--,--,--,--,,--,--,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,royal blue, Cocktail dress / Party dress,MLMIVANA DRESS ,MAMALICIOUS,https://www.zalando.co.uk/mamalicious-cocktail-dress-party-dress-rhubarb-m6429f0ow-g11.html,Â£48.99
6973,M6429F0OW-G11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not iron, Do not bleach",Standing collar,--,--,--,--,--,--,--,,--,--,--,,--,--,--,--,"84% polyester, 11% cotton, 4% nylon, 1% elastane",--,Plain,--,--,--,--,--,,--,--,,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,snow white, Cocktail dress / Party dress,MLMIVANA DRESS ,MAMALICIOUS,https://www.zalando.co.uk/mamalicious-cocktail-dress-party-dress-rhubarb-m6429f0ow-g11.html,Â£48.99
6974,EF121C0BI-Q11,--,"14.0 "" (Size 10)",--,"Do not tumble dry, Hand wash only",Lapel collar,--,--,"Belt included, zip fastening, slip",Faux leather,Zip,--,Regular Fit,,--,--,Short,,"97% polyester, 3% elastane",--,--,"Our model is 5' 9""  tall and is wearing size 10",100% polyester,--,Plain,--,--,Short,--,--,,--,"36.0 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,nero, Cocktail dress / Party dress,WOMEN'S DRESS WITH BELT ,Elisabetta Franchi,https://www.zalando.co.uk/elisabetta-franchi-womens-dress-with-belt-cocktail-dress-party-dress-nero-ef121c0bi-q11.html,Â£514.99
6975,M0V21C0OY-J11,--,--,--,Machine wash at 30Â°C,--,--,--,"Adjustable straps, bow",Satin,Zip,--,Slim Fit,,--,--,Extra short,,--,--,Backless,--,100% polyester,--,Plain,--,--,"Spaghetti straps, sleeveless",--,--,,--,"31.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,rose, Cocktail dress / Party dress,COWL NECK DRESS ,Missguided Petite,https://www.zalando.co.uk/missguided-petite-cowl-neck-dress-cocktail-dress-party-dress-rose-m0v21c0oy-j11.html,Â£32.99
6976,CL921C0UY-H11,--,"13.0 "" (Size 10)",--,Hand wash only,--,--,--,Bust darts,Satin,Zip,--,Loose Fit,,--,--,Short,,--,--,--,--,"97% polyester, 3% elastane",--,Floral,--,--,"17.5 "" (Size 10)",--,--,,--,"33.5 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,peach, Cocktail dress / Party dress,LONDON MINI PLEATED DRESS ,Closet,https://www.zalando.co.uk/closet-london-mini-pleated-dress-cocktail-dress-party-dress-peach-cl921c0uy-h11.html,Â£114.99
6977,BYC21C031-G11,--,"12.5 "" (Size 8)",--,"Do not tumble dry, Do not wash",--,--,--,Slip,--,Button,--,Loose Fit,,--,--,Short,,"97% polyester, 3% elastane",--,Crew neck,"Our model is 5' 11""  tall and is wearing size 8","80% viscose, 20% nylon",--,--,--,--,Short,--,--,,--,"34.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,ruby leo, Cocktail dress / Party dress,FLORINE DRESS ,By Malina,https://www.zalando.co.uk/by-malina-florine-dress-cocktail-dress-party-dress-ruby-leo-byc21c031-g11.html,Â£289.99
6978,TOB21C06N-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Rib,--,--,Bodycon,,--,--,Calf-length,,--,--,--,"Our model is 5' 9""  tall and is wearing size S","91% polyester, 9% elastane",--,Plain,--,--,"Strapless, sleeveless",--,--,,--,"43.5 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,CUTOUT BODYCON DRESS ,Tommy Jeans,https://www.zalando.co.uk/tommy-jeans-cutout-bodycon-dress-day-dress-black-tob21c06n-q11.html,Â£69.99
6979,TOB21C06N-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Rib,--,--,Bodycon,,--,--,Calf-length,,--,--,--,"Our model is 5' 9""  tall and is wearing size S","91% polyester, 9% elastane",--,Plain,--,--,"Strapless, sleeveless",--,--,,--,"43.5 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,violet viola, Cocktail dress / Party dress,CUTOUT BODYCON DRESS ,Tommy Jeans,https://www.zalando.co.uk/tommy-jeans-cutout-bodycon-dress-day-dress-black-tob21c06n-q11.html,Â£69.99
6980,LOB21C02O-O11,--,"15.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,--,Satin,Zip,--,Regular Fit,,--,--,Calf-length,,--,--,--,"Our model is 5' 10""  tall and is wearing size 8","96% viscose, 4% elastane",--,Plain,--,--,"25.0 "" (Size 8)",--,--,,--,"51.5 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,video overlay, Cocktail dress / Party dress,ANABELLE ,Lovechild,https://www.zalando.co.uk/lovechild-anabelle-cocktail-dress-party-dress-brown-lob21c02o-o11.html,Â£224.99
6981,B3E21C005-M11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Adjustable straps,Satin,--,--,Regular Fit,,--,--,Long,,--,--,Low-cut v-neck,--,100% silk,--,Plain,--,--,Spaghetti straps,--,--,,--,"54.5 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,cargo green, Cocktail dress / Party dress,BIAS SLIP SLIT CHARMEUSE ,Banana Republic Petite,https://www.zalando.co.uk/banana-republic-petite-bias-slip-slit-charmeuse-cocktail-dress-party-dress-cargo-green-b3e21c005-m11.html,Â£134.99
6982,0HC21C02J-Q11,--,"16.5 "" (Size 8)",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,"Border, belt included",--,Button,--,Regular Fit,,--,--,Short,,--,--,--,"Our model is 5' 10""  tall and is wearing size 8","95% polyester, 5% elastane",--,Plain,--,--,"25.0 "" (Size 8)",--,--,,--,"37.0 "" (Size 8)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,video overlay, Cocktail dress / Party dress,ISSELINE ,Hofmann Copenhagen,https://www.zalando.co.uk/hofmann-copenhagen-isseline-cocktail-dress-party-dress-black-0hc21c02j-q11.html,Â£319.99
6983,BB121C0BX-Q11,--,--,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,"Slip, sequins",Mesh,Button,--,Regular Fit,,--,--,Short,,100% modal,--,Crew neck,--,"90% polyester, 10% elastane",--,Plain,--,--,Elbow length,--,--,,--,"35.0 "" (Size S)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,black, Cocktail dress / Party dress,ESENNI ,BOSS,https://www.zalando.co.uk/boss-esenni-cocktail-dress-party-dress-black-bb121c0bx-q11.html,Â£199.99
6984,V0921C02W-K11,--,--,--,Dry clean only,--,--,--,Zip fastening,--,Zip,--,Loose Fit,,--,--,Calf-length,,--,--,Crew neck,"Our model is 5' 10""  tall and is wearing size 4",100% polyester,--,Print,--,--,"24.0 "" (Size 4)",--,--,,--,"47.0 "" (Size 4)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,video overlay, Cocktail dress / Party dress,SLEEVE DETAIL DOLMAN MIDI ,Victoria Beckham,https://www.zalando.co.uk/victoria-beckham-dolman-cocktail-dress-party-dress-dark-navycopper-v0921c02w-k11.html,"Â£1,010.00"
6985,CQ421C03L-T11,--,--,--,"Do not tumble dry, Hand wash only",--,--,Asymmetrical,Zip fastening,--,Laces,--,Slim Fit,,--,--,Knee-length,,--,--,Cowl neck,"Our model is 5' 10""  tall and is wearing size 10",100% polyester,--,Print,--,--,Spaghetti straps,--,--,,--,"40.0 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,chocolate shapes, Cocktail dress / Party dress,FADING DRESS ,CMEO COLLECTIVE,https://www.zalando.co.uk/cmeo-collective-fading-dress-cocktail-dress-party-dress-chocolate-shapes-cq421c03l-t11.html,Â£209.99
6986,D0T21C011-Q11,--,"15.0 "" (Size 10)",--,Dry clean only,--,--,--,--,Rib,Hook fasteningÂ ,--,Bodycon,,--,--,Short,,--,--,Backless,"Our model is 5' 10""  tall and is wearing size 10","75% viscose, 23% nylon, 2% elastane",--,Plain,--,--,"25.0 "" (Size 10)",--,--,,--,"35.5 "" (Size 10)",,,,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cocktail Dresses,video overlay,,Cocktail dress / Party dress,David Koma,https://www.zalando.co.uk/david-koma-cocktail-dress-party-dress-black-d0t21c011-q11.html,Â£550.00
